OMOP_CONCEPT_ID	TEST_NAME	MEASUREMENT_UNIT_PREFIX	MEASUREMENT_UNIT	IS_EXTRACTED	MEASUREMENT_VALUE_TYPE	n_records	n_subjects
3017732	b-neutrofiilit	e9/l	e9/l	FALSE	Source	74595	22802
-1	b-hemoglobiini-a1c	mmol/m	mmol/m	FALSE	Source	7630	6862
3023024	cb-pco2	kpa	kpa	FALSE	Source	107718	28184
3003129	cb-emäsylimäärä	mmol/l	mmol/l	FALSE	Source	10678	4894
-1	cb-aktuaalibikarbonaatti	mmol/l	mmol/l	FALSE	Source	57	38
40764999	pt-glomerulussuodosnopeus,estimoitu,ckd-epi-kaava	ml/min/173m2	ml/min/173m2	FALSE	Source	202854	42367
43054903	s-b12-tc2	pmol/l	pmol/l	FALSE	Source	176273	104570
3021960	fs-folaat	nmol/l	nmol/l	FALSE	Source	163828	103544
3016431	s-kalsium,ionisoitunut,ph7.4-korjattu	mmol/l	mmol/l	FALSE	Source	14779	5879
3021347	s-kalsium,ionisoitunut,aktuaali	mmol/l	mmol/l	FALSE	Source	14590	5996
3012516	u-alb	mg/l	mg/l	FALSE	Source	245848	82861
3020682	u-albkre	mg/mmol	mg/mmol	FALSE	Source	242625	79352
3033658	p-tt	%	%	FALSE	Source	465481	109795
3019800	p-tnt	ng/l	ng/l	FALSE	Source	400470	104218
3005772	p-bil-kj	umol/l	umol/l	FALSE	Source	124635	42889
40764999	pt-gfreepi	ml/min/173m2	ml/min/173m2	FALSE	Source	1889081	227834
3016417	p-amylp	u/l	u/l	FALSE	Source	91217	36907
3022914	s-ca19-9	u/ml	u/ml	FALSE	Source	44367	12589
3014576	p-cl	mmol/l	mmol/l	FALSE	Source	441190	56017
3013742	s-prealb	mg/l	mg/l	FALSE	Source	38067	16019
3005785	p-ck-mbm	ug/l	ug/l	FALSE	Source	69802	29673
3014218	ab-hco3-st	mmol/l	mmol/l	FALSE	Source	255830	22562
3020779	p-urea	mmol/l	mmol/l	FALSE	Source	168276	23469
3003458	p-pi	mmol/l	mmol/l	FALSE	Source	179614	26569
3016771	-amyl	u/l	u/l	FALSE	Source	4275	770
3013721	p-asat	u/l	u/l	FALSE	Source	444748	133332
3002582	u-eryt	e6/l	e6/l	FALSE	Source	273727	97791
3018095	u-leuk	e6/l	e6/l	FALSE	Source	294204	107042
3000850	u-epit	e6/l	e6/l	FALSE	Source	168750	67070
3030467	u-lier	e6/l	e6/l	FALSE	Source	195505	72382
3026782	u-osmole	mosm/kgh2o	mosm/kgh2o	FALSE	Source	70655	30379
3013650	b-neut	e9/l	e9/l	FALSE	Source	1796760	224870
3015377	p-ca	mmol/l	mmol/l	FALSE	Source	398612	101448
3020059	p-ca-albk	mmol/l	mmol/l	FALSE	Source	165475	61311
3019309	fe-folaat	nmol/l	nmol/l	FALSE	Source	76563	54439
3027945	e-retik	%	%	FALSE	Source	121560	45441
3022948	fp-fe	umol/l	umol/l	FALSE	Source	141841	52665
3004789	fp-transf	g/l	g/l	FALSE	Source	144990	53515
3015399	p-tfr	mg/l	mg/l	FALSE	Source	152596	68841
3001122	p-ferrit	ug/l	ug/l	FALSE	Source	414832	136411
40763571	fp-trfesat	%	%	FALSE	Source	88543	32054
3013115	b-eos	e9/l	e9/l	FALSE	Source	1092958	199718
3018010	l-neut(a)	%	%	FALSE	Source	590444	77833
3019069	l-mono(a)	%	%	FALSE	Source	588958	77781
3021589	b-erblast	e9/l	e9/l	FALSE	Source	313458	60226
3002030	l-lymf(a)	%	%	FALSE	Source	588720	77720
3003785	s-cea	ug/l	ug/l	FALSE	Source	87770	23242
3016431	s-ca-ion	mmol/l	mmol/l	FALSE	Source	460023	114233
3013115	b-eos			TRUE	Extracted	381535	71867
3026361	b-eryt			TRUE	Extracted	2671557	244934
3010813	b-leuk			TRUE	Extracted	2588172	231711
3006315	b-baso			TRUE	Extracted	357899	69422
3019198	b-ly			TRUE	Extracted	335079	64045
3001604	b-monos			TRUE	Extracted	373052	75479
3013650	b-neut			TRUE	Extracted	676613	96381
3013603	p-psa	ug/l	ug/l	FALSE	Source	353553	81980
3005013	p-psa-v	ug/l	ug/l	FALSE	Source	112760	40954
3001784	p-psa-suh	%	%	FALSE	Source	93796	29667
40764999	pt-gfreepi		ml/min/173m2	FALSE	Source	348756	58458
3007461	b-trom			TRUE	Extracted	2410298	213874
3021589	b-erblast			TRUE	Extracted	314168	55120
3001122	s-ferrit	ug/l	ug/l	FALSE	Source	228321	97993
3007164	s-iga	g/l	g/l	FALSE	Source	35623	29646
3006923	s-alat	u/l	u/l	FALSE	Source	323438	128728
3026910	s-gt	u/l	u/l	FALSE	Source	178336	95682
3019900	fs-kol	mmol/l	mmol/l	FALSE	Source	255206	109871
3023602	fs-kol-hdl	mmol/l	mmol/l	FALSE	Source	254480	109497
3001308	fs-kol-ldl	mmol/l	mmol/l	FALSE	Source	255209	109841
3020564	fs-krea	umol/l	umol/l	FALSE	Source	277757	123620
3048773	fs-trigly	mmol/l	mmol/l	FALSE	Source	258906	110568
40764999	pt-gfre	ml/min/173m2	ml/min/173m2	FALSE	Source	1096391	193094
3024731	e-mcv			TRUE	Extracted	858994	141428
3009542	b-hkr			TRUE	Extracted	881108	145863
3000963	b-hb			TRUE	Extracted	873871	140705
3003338	e-mchc			TRUE	Extracted	305155	70895
3035941	e-mch			TRUE	Extracted	855475	140906
3023103	p-k			TRUE	Extracted	700550	140447
3019550	p-na			TRUE	Extracted	615080	124560
3020460	p-crp			TRUE	Extracted	327082	78044
3020564	p-krea			TRUE	Extracted	596372	123647
3002385	e-rdw			TRUE	Extracted	441579	85592
3018010	l-neut(a)			TRUE	Extracted	48791	16659
3019069	l-mono(a)			TRUE	Extracted	49582	16925
3022096	l-baso(a)			TRUE	Extracted	48061	16357
3006504	l-eos(a)			TRUE	Extracted	49312	16917
3002030	l-lymf(a)			TRUE	Extracted	50473	17320
3002030	l-ly	%	%	FALSE	Source	138412	32024
3008486	s-t4-v	pmol/l	pmol/l	FALSE	Source	242498	113409
3018010	l-neut	%	%	FALSE	Source	378347	72562
3019069	l-monos	%	%	FALSE	Source	434311	81132
3048689	f-calpro	ug/g	ug/g	FALSE	Source	130628	50504
40758558	b-pvk+tkd			TRUE	Extracted	782	583
3022096	l-basofiilit	%	%	FALSE	Source	52709	15827
3013115	b-eosinofiilit,verestä	e9/l	e9/l	FALSE	Source	727	552
3006504	l-eosinofiilit	%	%	FALSE	Source	57593	17940
3026361	b-erytrosyytit	e12/l	e12/l	FALSE	Source	324095	72924
3024731	e-erytrosyytit,keskitilavuus	fl	fl	FALSE	Source	101085	30519
3009542	b-erytrosyytit,tilavuusosuus	%	%	FALSE	Source	85071	17321
3000963	b-hemoglobiini	g/l	g/l	FALSE	Source	172668	50720
3003338	e-hemoglobiini,keskimassakonsentraatio	g/l	g/l	FALSE	QCOut	111182	32527
-1	e-hemoglobiini,keskimassa	pg/u	pg/u	FALSE	Source	723	549
3010813	b-leukosyytit	e9/l	e9/l	FALSE	Source	370214	82454
3007461	b-trombosyytit	e9/l	e9/l	FALSE	Source	323143	74122
3006315	b-basofiilisetleukosyytit	e9/l	e9/l	FALSE	Source	25299	9991
3019198	b-lymfosyytit	e9/l	e9/l	FALSE	Source	51684	19174
3001604	b-monosyytit	e9/l	e9/l	FALSE	Source	46248	16649
3015736	u-ph		ph	FALSE	Source	273768	97561
3020460	s-crp	mg/l	mg/l	FALSE	Source	153116	76305
40764999	pt-gfreepi			TRUE	Extracted	403097	92654
3033658	p-tt			TRUE	Extracted	5990	3944
3006923	p-alat			TRUE	Extracted	483686	118839
3035995	p-afos			TRUE	Extracted	179424	71291
3016417	p-amylp			TRUE	Extracted	5279	4126
3013721	p-asat			TRUE	Extracted	20811	13531
3026910	p-gt			TRUE	Extracted	101194	45532
3006140	p-bil			TRUE	Extracted	45630	25347
3012095	p-mg			TRUE	Extracted	11958	6958
3022096	l-baso(a)	%	%	FALSE	Source	93247	26502
3006504	l-eos(a)	%	%	FALSE	Source	92061	26273
3015736	u-ph	form	ph	FALSE	Source	17983	13526
3019150	u-suhti	g/ml	kg/l	FALSE	Source	3079	2229
3004410	b-hb-a1c	mmol/mol	mmol/mol	FALSE	Source	7611	3520
3019900	kolesteroli,plasmasta,paastotilassa(fp-kol)	mmol/l	mmol/l	FALSE	Source	3522	2434
3023602	kolesteroli,highdensitylipoprotein,plasmasta,paastotilassa(fp-kol-hdl)	mmol/l	mmol/l	FALSE	Source	3523	2434
3025839	triglyseridit,plasmasta,paastotilassa(fp-trigly)	mmol/l	mmol/l	FALSE	Source	3521	2434
3009035	s-b12-vit	pmol/l	pmol/l	FALSE	Source	76508	49916
3023103	s-k	mmol/l	mmol/l	FALSE	Source	138249	71399
3019550	s-na	mmol/l	mmol/l	FALSE	Source	124118	68077
3036481	s-korsol	nmol/l	nmol/l	FALSE	Source	43706	20059
3026179	s-normet	nmol/l	nmol/l	FALSE	Source	8222	6242
3032155	s-metnef	nmol/l	nmol/l	FALSE	Source	5517	4346
3024561	s-alb	g/l	g/l	FALSE	Source	23178	16454
3015377	s-ca	mmol/l	mmol/l	FALSE	Source	19207	15153
3026989	s-t3-v	pmol/l	pmol/l	FALSE	Source	18326	8176
3020059	s-ca-albk	mmol/l	mmol/l	FALSE	Source	9050	7093
3023602	fp-kol-hdl	mmol/l	mmol/l	FALSE	Source	1110569	317791
40764999	pt-gfre			FALSE	Source	96631	39712
3002582	u-eryt			TRUE	Extracted	157101	58535
3018095	u-leuk			TRUE	Extracted	156372	58541
3030467	u-lier			TRUE	Extracted	155287	56661
3029879	u-levyep			TRUE	Extracted	135472	48550
3030306	u-pienep			TRUE	Extracted	135156	48414
3009542	b-erytrosyyttientilavuusosuus	osuus	%	FALSE	Source	6319	3291
3026493	p-uraat	umol/l	umol/l	FALSE	Source	226132	81025
3029879	u-levyep	e6/l	e6/l	FALSE	Source	81770	35201
3030306	u-pienep	e6/l	e6/l	FALSE	Source	65516	29794
3015736	u-ph			TRUE	Extracted	340226	114580
3018677	p-aptt	s	s	FALSE	Source	143489	65406
46236952	pt-gfre-md	ml/min/173m2	ml/min/173m2	FALSE	Source	26940	11700
3020564	fp-krea	umol/l	umol/l	FALSE	Source	759945	109993
-1	e-punasolujenkokojakaum	%	%	FALSE	Source	55540	36380
-1	glom.suod.nopeusckd-epi	ml/min/173m2	ml/min/173m2	FALSE	Source	25363	19545
3020630	s-prot	g/l	g/l	FALSE	Source	87590	32839
3015377	fp-ca	mmol/l	mmol/l	FALSE	Source	53237	24984
-1	b-lymfosyytit,abs	e9/l	e9/l	FALSE	Source	2753	2325
-1	p-kalsium,alb.korjattu	mmol/l	mmol/l	FALSE	Source	1368	1212
-1	neutrofiilit,5-osa	%	%	FALSE	Source	4342	3786
-1	lymfosyytit,5-osa	%	%	FALSE	Source	4342	3786
-1	monosyytit,5-osa	%	%	FALSE	Source	4342	3786
-1	basofiilit,5-osa	%	%	FALSE	Source	4342	3786
-1	eosinofiilit,5-osa	%	%	FALSE	Source	4342	3786
3009542	b-hkr	osuus	ratio	FALSE	Source	4240709	249403
42868674	hdl/kol	%	%	FALSE	Source	130585	34214
40764999	pt-gfreep	ml/min/173m2	ml/min/173m2	FALSE	Source	12674	2687
3019225	ph		ph	FALSE	Source	115802	28728
3016431	ca++/7.40	mmol/l	mmol/l	FALSE	Source	98719	25291
3021347	ca-ion	mmol/l	mmol/l	FALSE	Source	99169	25286
42868674	hdl/kol.	%	%	FALSE	Source	1944	1642
3009542	b-erytrosyytit,tilavuusosuus	osuus	ratio	FALSE	Source	292477	66365
3020564	p-kreatiniini	umol/l	umol/l	FALSE	Source	116933	38268
3009508	u-kreatiniini	mmol/l	mmol/l	FALSE	Source	25030	16744
3010813	fb-leukosyytit	e9/l	e9/l	FALSE	Source	53953	21331
3002109	kol/hdlsuh			FALSE	Source	66453	40185
3018418	s-ph			TRUE	Extracted	161742	46339
3017446	s-testo	nmol/l	nmol/l	FALSE	Source	77553	35821
3004248	s-shbg	nmol/l	nmol/l	FALSE	Source	28134	15509
3013603	s-psa	ug/l	ug/l	FALSE	Source	88424	40096
36032269	s-testovl	pmol/l	pmol/l	FALSE	Source	14452	8363
-1	kolesteroli/hdl-suhde			TRUE	Extracted	33783	25505
-1	non-hdl(paasto)			TRUE	Extracted	6004	4927
3021589	b-erybla	e9/l	e9/l	FALSE	Source	1041959	95246
3032080	p-tt-inr	inr	inr	FALSE	Source	339705	49267
3032080	b-aivoinr	inr	inr	FALSE	Source	203	188
3014007	ab-hbo2	%	%	FALSE	Source	293958	28155
3020891	pt-lämpöt	°c	°c	FALSE	Source	66467	12754
3028653	ab-hb-co	%	%	FALSE	Source	287728	27580
3006217	ab-hb-met	%	%	FALSE	Source	285488	27666
3008152	ab-shco3	mmol/l	mmol/l	FALSE	Source	51255	11088
3002173	ab-thb	g/l	g/l	FALSE	Source	48634	10238
3021347	p-ca-iona	mmol/l	mmol/l	FALSE	Source	404566	45532
3043409	ap-k	mmol/l	mmol/l	FALSE	Source	50234	10802
3019550	ap-na	mmol/l	mmol/l	FALSE	Source	50237	10802
3018405	ap-laktaat	mmol/l	mmol/l	FALSE	Source	49181	10418
3016431	p-ca-ion.	mmol/l	mmol/l	FALSE	Source	356672	39413
3019198	b-lymf	e9/l	e9/l	FALSE	Source	275627	50839
3002030	l-lymf	%	%	FALSE	Source	287232	52568
3029937	u-alb-o	estimate	estimate	FALSE	Source	115398	41197
3035350	u-keto-o	estimate	estimate	FALSE	Source	133623	43437
3041096	u-eryt-o	estimate	estimate	FALSE	Source	103663	38544
40763086	u-leuk-o	estimate	estimate	FALSE	Source	102815	38693
3021601	u-nitr-o	estimate	estimate	FALSE	Source	124875	42528
3002385	e-punasolujenkokojakauma	%	%	FALSE	Source	196955	51621
3021589	b-erytroblastit	e9/l	e9/l	FALSE	Source	151903	27027
40764999	glomerulussuodosnopeus,estimoitu,ckd-epi-kaava	ml/min/173m2	ml/min/173m2	FALSE	Source	58182	13908
3036481	p-korsol	nmol/l	nmol/l	FALSE	Source	51414	22605
3026989	p-t3-v	pmol/l	pmol/l	FALSE	Source	73828	19867
3023323	s-fsh	u/l	u/l	FALSE	Source	14214	11129
3018418	fs-ph			TRUE	Extracted	17366	5025
3009035	p-b12-vit	pmol/l	pmol/l	FALSE	Source	37058	24919
3002385	e-kokojakauma	%	%	FALSE	Source	24438	7371
3021589	b-erytroblastit			TRUE	Extracted	10379	3507
3022250	p-ld	u/l	u/l	FALSE	Source	215599	48608
-1	u-suhti		mg/l	FALSE	Source	118625	44665
3000850	u-epilevy	e6/l	e6/l	FALSE	Source	14634	8104
3030306	u-epipien	e6/l	e6/l	FALSE	Source	16238	8712
-1	cb-tt-inrp			TRUE	Extracted	5576	197
3004410	b-ghb-a1c	%	%	FALSE	Source	48425	28411
3012516	u-alb			TRUE	Extracted	51996	23141
3009508	u-krea			TRUE	Extracted	98777	38090
3020682	u-albkre			TRUE	Extracted	51379	22833
3011960	p-bnp			TRUE	Extracted	3768	2389
3021337	p-tni			TRUE	Extracted	2409	1474
3004410	b-hba1cpi	mmol/mol	mmol/mol	FALSE	Source	1299	306
3004410	b-hba1cvt	%	%	FALSE	Source	7582	1170
3027456	s-digoks	nmol/l	nmol/l	FALSE	Source	18447	6145
3051593	cb-tt-inrpika			FALSE	Source	4841	181
3001604	b-mono	e9/l	e9/l	FALSE	Source	66813	13094
3017315	u-amyl	u/l	u/l	FALSE	Source	2761	2221
3017817	du-prot	mg	mg	FALSE	Source	9936	3833
3036603	du-vmml	ml	ml	FALSE	Source	256	130
-1	du-globul	mg/l	mg/l	FALSE	Source	54	32
3012516	du-albumi	mg/l	mg/l	FALSE	Source	56	34
3027035	du-alb	mg/24h	mg/24h	FALSE	Source	64	55
3020779	fp-urea	mmol/l	mmol/l	FALSE	Source	124584	15996
3019150	u-suhtih		kg/l	FALSE	Source	34309	11343
3029187	p-probnp			TRUE	Extracted	41685	21319
3016431	s-ca-i7.4			TRUE	Extracted	1212	654
3021347	s-ca-iona			TRUE	Extracted	11922	7274
3004410	b-hba1c			TRUE	QCOut	353701	102381
3018010	l-neut			TRUE	Extracted	16284	8009
3002030	l-ly			TRUE	Extracted	5564	1560
3019069	l-monos			TRUE	Extracted	31296	13884
3019150	u-suhtih			TRUE	Extracted	7667	2414
3005715	s-van	mg/l	mg/l	FALSE	Source	34483	5698
3019800	p-tnt			TRUE	Extracted	32877	16105
3046279	p-pct			TRUE	Extracted	1867	1154
3018251	fp-gluk			TRUE	Extracted	373330	120342
3001784	s-psa-suh	%	%	FALSE	Source	15340	7847
3004410	b-ghb-a1c			TRUE	QCOut	38328	24375
3013603	s-psa			TRUE	Extracted	2767	1913
3007164	p-iga	g/l	g/l	FALSE	Source	52529	33986
3022217	p-inr	inr	inr	FALSE	Source	73171	7185
3003785	p-cea	ug/l	ug/l	FALSE	Source	49240	12144
3020460	p-crp-hy	mg/l	mg/l	FALSE	Source	6913	4012
-1	s-cladhee	u/ml	u/ml	FALSE	Source	2129	2038
3023351	s-dpteroe	u/ml	u/ml	FALSE	Source	5301	4833
3003888	s-timotee	u/ml	u/ml	FALSE	Source	5945	5423
-1	s-pölyer	u/ml	u/ml	FALSE	Source	7290	6853
3013721	s-asat	u/l	u/l	FALSE	Source	22998	15342
-1	non-hdl		mmol/l	FALSE	Source	37674	27426
3044491	non-hdl			TRUE	Extracted	28299	22042
3009261	u-gluk-o	estimate	estimate	FALSE	Source	123942	41579
3021347	s-ca(akt)	mmol/l	mmol/l	FALSE	Source	86215	19634
3018418	s-ph(akt)	ph	ph	FALSE	Source	97114	24286
3048816	s-ca(7.4)	mmol/l	mmol/l	FALSE	Source	115492	29396
-1	rakkoaika	h	h	FALSE	Source	60961	21412
3012095	p-mg	mmol/l	mmol/l	FALSE	Source	247648	65739
3029187	b-probnpo	ng/l	ng/l	FALSE	Source	40	34
3020460	oma-crp			FALSE	Source	8732	3150
3020460	oma-crp			TRUE	Extracted	12944	7577
3032080	tromboplastiiniaika,inr-tulostus	inr	inr	FALSE	Source	9382	2334
3012336	s-haptog	g/l	g/l	FALSE	Source	10330	6655
40763571	-trfesat	%	%	FALSE	Source	49060	21979
3029080	e-rethe	pg	pg	FALSE	Source	12083	5595
3023520	b-retik	e9/l	e9/l	FALSE	Source	65705	28267
3013115	l-eos	e9/l	e9/l	FALSE	Source	4145	1341
3006315	l-baso	e9/l	e9/l	FALSE	Source	4039	1335
3001604	l-monos	e9/l	e9/l	FALSE	Source	2608	806
3019198	l-lymf	e9/l	e9/l	FALSE	Source	2342	846
3000012	b-retind	osuus	%	FALSE	Source	9157	4063
-1	oma-hb			FALSE	Source	4858	1867
3013826	oma-gluk			FALSE	Source	17457	2510
3018418	happamuusaste,seerumi	ph	ph	FALSE	Source	4823	2236
3016431	kalsium,ionisoitunut(7.4),seerumi	mmol/l	mmol/l	FALSE	Source	9434	3757
3028531	s-nse	ug/l	ug/l	FALSE	Source	10077	5099
42529201	p-ca19-9	u/ml	u/ml	FALSE	Source	27338	7826
-1	fs-kromograniinia	nmol/l	nmol/l	FALSE	Source	217	124
3030136	s-5hiaa	nmol/l	nmol/l	FALSE	Source	10292	3004
3029937	u-albumiini(kval)	estimate	estimate	FALSE	Source	10494	6324
3035350	u-asetoniaineet(kval)	estimate	estimate	FALSE	Source	16819	9305
3002582	u-erytrosyytit	e6/l	e6/l	FALSE	Source	29244	15574
3045424	u-erytrosyytit(kval)	estimate	estimate	FALSE	Source	9326	5533
3009261	u-glukoosi(kval)	estimate	estimate	FALSE	Source	14787	8413
3018095	u-leukosyytit	e6/l	e6/l	FALSE	Source	20736	11106
3045414	u-leukosyytit(kval)	estimate	estimate	FALSE	Source	11845	7411
3026782	u-osmest	mosm/kgh2o	mosm/kgh2o	FALSE	Source	89312	30567
3021601	u-nitriitti(kval)	estimate	estimate	FALSE	Source	14979	8749
3000850	u-epiteelit	e6/l	e6/l	FALSE	Source	2832	1785
3030981	u-lieriöt	e6/l	e6/l	FALSE	Source	59778	26154
3026493	uraatti	umol/l	umol/l	FALSE	Source	3560	2311
-1	e-retikulosyyttienkeskimääräinenhemoglobiininmäärä	pg	pg	FALSE	Source	438	304
-1	b-retikulosyytit	e9/l	e9/l	FALSE	Source	2370	1662
3006315	b-basofiilit	e9/l	e9/l	FALSE	Source	17451	6665
-1	l-lymfosyytti	%	%	FALSE	Source	11079	3614
-1	l-eosinofiili	%	%	FALSE	Source	11078	3614
-1	l-basofiili	%	%	FALSE	Source	11394	3761
-1	l-monosyytti	%	%	FALSE	Source	17104	6654
