group_id	TEST_NAME	UNIT	n	p_missing	deciles	LongName	prefix_meaning	suffix_meaning	group_path	has_component	has_property	has_method	has_system	has_scale_type	has_time_aspect	is_panel
126	gluk2h	mmol/l	280	0	[4.55, 5.28, 5.68, 6.16, 6.59, 6.99, 7.54, 8.2, 9.44]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	gluk2h		6	100					2.1.2.2.2.2.1.1	Glucose	Finding			Nar	Point in time (spot)	FALSE
126	gluk30min		362	0	[7.03, 7.79, 8.42, 8.84, 9.36, 9.74, 10.39, 11.2, 12.52]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	gluk60min		359	0	[5.8, 6.9, 7.62, 8.52, 9.3, 10.21, 11.28, 12.5, 14.53]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	glukbel-vp	mmol/l	664	0	[4.52, 4.88, 5.29, 5.73, 5.99, 6.35, 6.81, 10.3, 12.64]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	glukbel-vp		209	100					2.1.2.2.2.2.1.1	Glucose	Finding			Nar	Point in time (spot)	FALSE
126	glukoosi120min	mmol/l	119	0	[4.6, 5.12, 5.49, 5.84, 6.6, 7.25, 8.25, 9.68, 12.44]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	glukr-0	mmol/l	144	0	[4.8, 5.18, 5.45, 5.64, 5.93, 6.16, 6.41, 6.64, 7.16]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	glukr-1h	mmol/l	125	0	[6.69, 7.13, 7.9, 8.73, 9.2, 10.36, 11.37, 12.79, 14.55]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	glukr-2h	mmol/l	144	0	[5.34, 5.79, 6.28, 6.91, 7.51, 8.15, 8.91, 10.16, 11.81]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	glukr0	mmol/l	204	0	[4.5, 4.79, 4.89, 5.08, 5.2, 5.47, 5.8, 6.29, 6.89]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	glukr0-n	mmol/l	618	0	[4.67, 4.86, 5.09, 5.3, 5.57, 5.83, 6.03, 6.29, 6.69]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	glukr1h	mmol/l	381	0	[5.67, 6.21, 6.84, 7.42, 7.86, 8.3, 8.82, 9.42, 10.36]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	glukr1valm		333	100					2.1.2.2.2.2.1.1		Finding		^Patient	Nar		FALSE
126	glukr2h	mmol/l	780	0	[4.8, 5.34, 5.8, 6.21, 6.59, 7.03, 7.53, 8.19, 9.83]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	glukras-0	mmol/l	97	0	[4.6, 4.78, 5, 5.1, 5.2, 5.43, 5.65, 5.9, 6.3]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	glukras-0		30	3.33					2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	glukras120	mmol/l	153	0	[5.1, 5.47, 5.77, 6.11, 6.54, 6.97, 7.58, 8.12, 9.26]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration			Qn	Point in time (spot)	FALSE
126	glukrvalm		2563	100					2.1.2.2.2.2.1.1		Finding		^Patient	Nar		FALSE
126	glukvieri	mmol/l	823	0	[5.3, 5.72, 6.09, 6.42, 6.92, 7.6, 8.66, 10.17, 12.3]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration	Test strip	Blood capillary	Qn	Point in time (spot)	FALSE
126	glukvieri		251	1.59	[5.24, 5.55, 5.81, 6.07, 6.3, 6.79, 7.52, 8.56, 10.76]				2.1.2.2.2.2.1.1	Glucose	Substance Concentration	Test strip	Blood capillary	Qn	Point in time (spot)	FALSE
