OMOP_CONCEPT_ID	TEST_NAME	MEASUREMENT_UNIT_PREFIX	MEASUREMENT_UNIT	IS_EXTRACTED	TEST_OUTCOME	n_TEST_OUTCOME	n_subjects
-1	-beta-2-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	A	97	51
-1	-beta-2-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	N	75	49
-1	-beta-2-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	H	6	6
-1	-beta-2-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	L	12	7
3006140	-bil	umol/l	umol/l	FALSE	N	149	88
-1	-bil			FALSE	N	34	30
3050099	-bkvnh			FALSE	A	134	25
3050099	-bkvnh			FALSE	N	58	31
3029187	-bnp	ng/l	ng/l	FALSE	A	29	8
-1	-bocanho			FALSE	N	10	10
-1	-bocavirus,nukleenihappo			FALSE	N	14	14
40765161	-bokanho			FALSE	N	795	495
40765161	-bokanho			FALSE	A	36	18
3012477	-bopenho			FALSE	N	180	175
3012477	-bopenho			FALSE	A	30	30
-1	-bopenho.			FALSE	N	368	252
-1	-bopevip			FALSE	N	10	10
3037875	-boppnho			FALSE	N	67	66
-1	-bordetellapertussis,nukleiinihappo(kval)			FALSE	N	12	12
-1	-bordetellapertussis,nukleiinihappo(kval)			FALSE	A	8	8
3030429	-borrnho			FALSE	N	207	203
3030429	-borrnho			FALSE	A	36	35
-1	-bparnho			FALSE	N	13	13
-1	-c19nho			FALSE	A	6	6
-1	-c6-ind			FALSE	N	9	8
-1	-c6-ind			TRUE	A	23	19
-1	-c6-ind			FALSE	A	11	11
-1	-caauvi			FALSE	N	152	42
3016431	-caio7.4	mmol/l	mmol/l	FALSE	A	10	10
3021347	-caionac	mmol/l	mmol/l	FALSE	A	10	10
-1	-calbnho			FALSE	N	86	80
-1	-calpro	mg/l	mg/l	FALSE	N	39	39
-1	-cand			FALSE	N	51	43
-1	-cand-vi			FALSE	A	32	23
-1	-candida,viljely			FALSE	A	20	20
-1	-candida,viljely			FALSE	N	9	8
-1	-candidaalbicans,nukleiinihappo			FALSE	N	20	18
-1	-candidaalbicansnho			FALSE	N	36	33
-1	-candidaparapsilosisnho			FALSE	N	8	7
3026389	-candvi			FALSE	A	1056	816
3026389	-candvi			FALSE	N	1001	808
-1	-cd138-solujeneristysluuydin-taiverinäytteestä			FALSE	N	21	21
-1	-cd4-solujensuhdecd8-soluihin			TRUE	N	236	161
3025059	-cdt			TRUE	N	66	59
3025059	-cdt	mg/l	mg/l	FALSE	N	16	15
-1	-cea	ug/l	ug/l	FALSE	N	30	29
-1	-cea			FALSE	N	12	12
-1	-cenp-a-ab(ib)			FALSE	N	30	30
-1	-cenp-b-ab(ib)			FALSE	N	30	30
-1	-chl..trach.janeisser.gonorrh.nukl.happo(kval)			FALSE	N	7	6
-1	-chl.trach.janeisser.gonorrh,nukl.hapon(kval)			FALSE	N	97	75
-1	-chlamydiatrachomatis,nukleiinihaponosoitus			FALSE	N	7	7
-1	-chlamydiatrachomatis,nukleiinihaponosoitus			FALSE	A	16	13
-1	-chlamydiatrachomatis,nukleiinihappo(kval)			FALSE	A	34	27
-1	-chlamydiatrachomatis,nukleiinihappo(kval)			FALSE	N	7	6
-1	-chlamydiatrachomatis,nukleiinihappo(kval)(kalmydia)			FALSE	N	10	6
-1	-chlamydiatrachomatis,nukleiinihappokotona			FALSE	N	4635	2677
-1	-chlamydiatrachomatis,nukleiinihappokotona			FALSE	A	181	156
-1	-chlamydiatrachomatis,osoittaminen,			FALSE	N	27	21
-1	-chlamydiatrachomatis,osoittaminennukleiinihap			FALSE	A	29	22
-1	-chlamydiatrachomatisjaneisseriagonorrhoeae,nukleiinihappokotona(kval)			FALSE	N	6639	3643
-1	-chpnab			FALSE	N	19	15
3031478	-chpnnho			FALSE	N	732	551
3006093	-chtrnho			FALSE	N	24766	13326
3006093	-chtrnho			FALSE	A	1291	976
-1	-cmvhe			FALSE	N	6	6
3030558	-cmvnh			FALSE	A	64	60
3030558	-cmvnh	iu/ml	iu/ml	FALSE	A	40	37
3030558	-cmvnh			FALSE	N	195	163
3030558	-cmvnh	iu/ml	iu/ml	FALSE	N	25	11
3030558	-cmvnh	u/ml	u/ml	FALSE	N	8	8
3020229	-cmvnho			FALSE	A	35	34
3020229	-cmvnho			FALSE	N	17	16
-1	-cmvvi			FALSE	N	9	8
-1	-coinrsv			FALSE	N	64	58
-1	-colnrsv			FALSE	A	19	19
-1	-covid-19-koronavirustauti,antigeeni			FALSE	N	68	59
-1	-covid-19-koronavirustauti,antigeeni			FALSE	A	8	8
-1	-covid-19-koronavirustauti,antigeeni,standardq			FALSE	N	6	6
-1	-covid-19-koronavirustauti,nho-pikatesti(kval)			FALSE	A	207	194
-1	-covid-19-koronavirustauti,nho-pikatesti(kval)			FALSE	N	11	11
-1	-covid-19-koronavirustauti,nukleiinihappo(kval)			FALSE	N	150	109
-1	-covid-19-koronavirustauti,nukleiinihappo(kval)			FALSE	A	743	678
-1	-covid-19-koronavirustauti,nukleiinihappo(kval)(pi)			FALSE	N	8	8
-1	-covid-19-koronavirustauti,nukleiinihappo(kval).			FALSE	N	13	10
-1	-covid-19-koronavirustauti,nukleiinihappo(kval).			FALSE	A	15	15
-1	-covid-19-koronavirustautinukleiinihappo(kval)			FALSE	N	8	7
-1	-covid-19-koronavirustautinukleiinihappo(kval)			FALSE	A	8	7
-1	-covid-19-koronavirustesti,nho-pikatesti(kval)			FALSE	N	41	32
-1	-covidjt			FALSE	N	41	38
3020460	-crp-pika	mg/l	mg/l	FALSE	A	186	125
3020460	-crp-pika			FALSE	A	11	10
3020460	-crppika	mg/l	mg/l	FALSE	A	167	70
3020460	-crppika			FALSE	A	31	21
-1	-ctgcnho			FALSE	N	19325	10327
-1	-ctgcnho			FALSE	A	111	101
-1	-ctgcnho,-chtrnho			FALSE	N	21	17
-1	-ctgcnho,1738osatutkimus			FALSE	N	13	11
-1	-ctjtnho			FALSE	N	115	81
-1	-ctngnho			FALSE	N	129	56
36032419	-cv19ag			FALSE	A	424	405
36032419	-cv19ag			FALSE	N	102	96
36032419	-cv19ag			TRUE	A	8	8
-1	-cv19ag0			FALSE	N	3366	2893
-1	-cv19ag0			FALSE	A	462	455
36032419	-cv19ag4			FALSE	N	73	38
36032419	-cv19ag4			FALSE	A	23	23
36033641	-cv19ag5			FALSE	A	241	231
36033641	-cv19ag5			FALSE	N	754	696
706163	-cv19nho			FALSE	N	102457	52593
706163	-cv19nho			FALSE	A	38443	35301
706163	-cv19nho			FALSE	AA	9	9
-1	-cv19nho-covid-19koronavirustauti,nukleiinihappo(kval)			FALSE	N	386	341
586526	-cv19pika			FALSE	A	816	779
-1	-cv19vt			FALSE	A	70	69
-1	-cyp2b6			FALSE	N	1450	1403
-1	-cyp2c19			FALSE	N	1450	1403
-1	-cyp2c9			FALSE	N	1450	1403
-1	-cyp2d6			FALSE	N	1450	1403
-1	-cyp3a5			FALSE	N	1450	1403
-1	-cyp4f2			TRUE	N	340	336
-1	-cyp4f2			FALSE	N	1110	1078
-1	-d-dimqpik			FALSE	A	10	7
-1	-dermatofyytitryhmä,nukleiinihappo(kval)			FALSE	N	27	27
-1	-dermatofyytitryhmä,nukleiinihappo(kval)			FALSE	A	18	17
-1	-dermatofyytti(silsasieni),nukleiinihappo			FALSE	N	19	17
-1	-dermnho			FALSE	A	246	225
-1	-dermnho			FALSE	N	335	322
-1	-desialotransferriini	mg/l	mg/l	FALSE	N	36	34
-1	-diagn.			FALSE	N	709	589
-1	-diagn..			FALSE	N	99	79
-1	-dialyysinjälkeen,p-urea	mmol/l	mmol/l	FALSE	N	51	44
-1	-diffi			FALSE	N	360	312
-1	-dnaex			FALSE	N	316	290
-1	-dpyd			FALSE	N	1450	1403
1001833	-ebvnh			FALSE	A	29	18
1001833	-ebvnh			FALSE	N	67	59
1001833	-ebvnh	u/ml	u/ml	FALSE	N	6	6
-1	-eflonho			FALSE	N	78	72
-1	-emcilia			FALSE	N	6	6
-1	-ennendialyysiä,p-urea	mmol/l	mmol/l	FALSE	N	60	49
3013115	-eos	%	%	FALSE	A	309	102
-1	-epflnho			FALSE	N	7	6
-1	-epidermophytonfloccosum,nukleiinihappo			FALSE	N	20	18
-1	-epidermophytonfloccosum,nukleiinihappo(kval)			FALSE	N	46	45
-1	-epidermophytonfloccosumnho			FALSE	N	35	32
-1	-epit			FALSE	N	6	6
-1	-eryt			FALSE	N	366	318
-1	-esblvi			FALSE	N	706	372
-1	-esblvi			FALSE	A	57	37
3016881	-evirnho			FALSE	N	823	512
3016881	-evirnho			FALSE	A	28	17
-1	-extem/a10	mm	mm	FALSE	A	54	46
-1	-extem/a15	mm	mm	FALSE	A	48	41
-1	-extem/a5	mm	mm	FALSE	A	49	44
-1	-extem/cft	s	s	FALSE	A	32	26
-1	-extem/cft	s	s	FALSE	N	9	8
-1	-extem/ct	s	s	FALSE	N	10	8
-1	-extem/ct	s	s	FALSE	A	20	18
-1	-extem/mcf	mm	mm	FALSE	N	9	7
-1	-extem/mcf	mm	mm	FALSE	A	34	30
-1	-extem/ml	%	%	FALSE	A	12	7
-1	-fibrillarin(ib)			FALSE	N	30	30
-1	-fibtem/mcf	mm	mm	FALSE	N	8	6
-1	-fidd-vt			FALSE	A	22	19
-1	-fish-s			FALSE	N	35	31
-1	-fossadouglas-näytteensolututkimus			FALSE	N	13	13
-1	-foundationone,kudoksesta			FALSE	N	12	12
3036048	-frtuab			FALSE	N	234	214
3036048	-frtuab	titre	titre	FALSE	A	58	42
-1	-fuusiogeenitutkimuskiinteillekasvaimille,pcr-menetelmällä			FALSE	N	10	10
-1	-gamma-globuliini,elektroforeesifraktio,osatutk2522	g/l	g/l	FALSE	A	7	7
-1	-gamma-globuliini,elektroforeesifraktio,osatutk2522	g/l	g/l	FALSE	N	7	7
-1	-gammaglobuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	A	422	99
-1	-gammaglobuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	N	28	24
-1	-gammaglobuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	H	20	19
-1	-gammaglobuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	L	44	20
-1	-gardnerellavaginalis,nukleiinihappo			FALSE	N	140	128
-1	-gardnerellavaginalis,nukleiinihappo			FALSE	A	130	120
3011371	-gcnho			FALSE	N	21336	11144
3011371	-gcnho			FALSE	A	515	285
3028334	-gcvi			FALSE	A	147	119
3028334	-gcvi			FALSE	N	268	209
3028334	-gcvi			FALSE	AA	94	71
-1	-genuusl			FALSE	N	38	36
-1	-ghba1c-vt			FALSE	A	14	13
-1	-gluk	mmol/l	mmol/l	FALSE	N	9	9
-1	-gluk-1h	mmol/l	mmol/l	FALSE	A	6	6
-1	-glutamyylitransferaasi-desialotransferriini-indeksi			TRUE	A	269	186
-1	-glutamyylitransferaasi-desialotransferriini-indeksi			TRUE	N	451	392
-1	-glutamyylitransferaasi-desialotransferriini-indeksi			FALSE	N	6	6
3052851	-h-ind			TRUE	N	8514	2372
-1	-hbpika			FALSE	A	10	9
3032567	-hbvnh			FALSE	N	37	37
-1	-hcgbsuh			FALSE	N	841	217
-1	-hcgbsuh	%	%	FALSE	N	105	40
-1	-hcvnho			FALSE	N	60	60
-1	-hcvnho			FALSE	A	46	37
-1	-hdl/kol	%	%	FALSE	N	915	856
-1	-hdl/kol.	%	%	FALSE	N	1235	1120
-1	-hdl/kol.			FALSE	N	6	6
-1	-hematologisenpotilaandiagnoosivaiheenfish-tutkimus			FALSE	N	28	28
-1	-hematologisenpotilaanfish-jäännöstautianalyysi			FALSE	N	8	6
-1	-hemoglobiinipika			FALSE	A	26	20
-1	-hepynho			FALSE	N	1262	1204
-1	-hepynho			FALSE	A	114	98
-1	-hermosäietutkimus			FALSE	N	18	18
-1	-herpessimplex-virus,nukleiinihaponosoitus			FALSE	A	8	8
-1	-herpessimplex-virus1,nukleiinihappo			FALSE	N	15	15
-1	-herpessimplex2,nukleiinihappo			FALSE	N	15	15
-1	-herpessimplexvirus,nukleiinihaponosoitus			FALSE	A	10	10
-1	-herpessimplexvirus,nukleiinihappo(kval)			FALSE	A	14	14
-1	-hhpvgt			FALSE	N	423	399
3025130	-hhpvnho			FALSE	A	3445	1931
3025130	-hhpvnho			FALSE	N	3630	2891
-1	-hhpvty			FALSE	N	423	399
3035401	-hhv6nh			FALSE	N	24	20
3035401	-hhv6nh			FALSE	A	6	6
-1	-hhv8nho			FALSE	N	10	9
-1	-hhvnh2			FALSE	N	13	12
-1	-hiiva,viljely			FALSE	N	43	39
-1	-hinfnho			FALSE	N	11	11
40764127	-hinnho			FALSE	N	14	14
-1	-histologinensolublokkisytologisestanäytteestä			FALSE	N	64	57
-1	-hivabct			FALSE	N	7	6
-1	-hivagab			FALSE	N	6	6
-1	-hmpvag			FALSE	N	40	32
-1	-hmpvnh			FALSE	N	13	12
3042194	-hmpvnho			FALSE	N	966	600
3042194	-hmpvnho			FALSE	A	76	71
3029511	-hpvnho			FALSE	A	1270	706
3029511	-hpvnho			FALSE	N	482	470
-1	-hpvnhty			FALSE	A	41	38
-1	-hpvnhty			FALSE	N	20	20
-1	-hpvseul			FALSE	A	275	250
-1	-hr16nho			FALSE	N	9	9
-1	-hr16nho			FALSE	A	7	7
-1	-hr18nho			FALSE	N	9	9
-1	-hrnho			FALSE	N	9	9
-1	-hrnho			FALSE	A	11	11
-1	-hsv1nho			FALSE	N	13	13
-1	-hsv1nho			FALSE	A	9	9
-1	-hsv2nho			FALSE	N	12	12
3001964	-hsvag			FALSE	A	48	48
3001964	-hsvag			FALSE	N	27	26
3028369	-hsvnho			FALSE	A	798	766
3028369	-hsvnho			FALSE	N	1171	1026
3010254	-hsvpvi			FALSE	A	155	147
3010254	-hsvpvi			FALSE	N	19	18
-1	-hsvvi			FALSE	N	131	130
-1	-hsvvi			FALSE	A	126	126
-1	-humaanimetapneumovirus,nukleiinihappo(kval)			FALSE	N	7	7
-1	-humanpapillomavirusgenotyyppi16			FALSE	A	17	14
-1	-humanpapillomavirusgenotyyppi16			FALSE	N	15	15
-1	-humanpapillomavirusgenotyyppi18			FALSE	N	16	16
-1	-humanpapillomavirusgenotyyppimuupatogeeninenhpv			FALSE	N	16	16
-1	-humanpapillomavirusgenotyyppimuupatogeeninenhpv			FALSE	A	44	34
3051651	-i-ind			TRUE	N	58	58
-1	-icsi			FALSE	N	48	44
-1	-imm-ong			FALSE	N	78	72
-1	-immunoglobuliini,alaluokkag1	g/l	g/l	FALSE	A	26	18
-1	-inabnho			FALSE	A	144	142
-1	-inabnho			FALSE	N	102	99
-1	-inabrsnho			FALSE	A	7	7
-1	-inabrsv			FALSE	A	388	369
-1	-inabrsv			FALSE	N	1266	1070
-1	-inanhoho			FALSE	A	70	70
-1	-inbnho			FALSE	A	7	7
-1	-inbnhoho			FALSE	A	30	30
3002523	-infaag			FALSE	N	58	50
3002523	-infaag			FALSE	A	44	44
3024891	-infabag			FALSE	N	197	194
3024891	-infabag			FALSE	A	13	13
-1	-infabnh			FALSE	N	62	60
-1	-infabnh			FALSE	A	49	49
-1	-infabrsv			FALSE	N	31	30
-1	-infah03			FALSE	N	6	6
-1	-infah09			FALSE	N	7	7
-1	-infah1			FALSE	N	9	9
3044938	-infanho			FALSE	N	28864	17124
3044938	-infanho			FALSE	A	4067	3901
-1	-infavt			FALSE	A	87	86
3003740	-infbag			FALSE	N	64	55
3003740	-infbag			FALSE	A	6	6
3038288	-infbnho			FALSE	N	27448	15967
3038288	-infbnho			FALSE	A	543	533
-1	-influenssaa,b,rsvjacovid-19nukleiinihappo(kval)			FALSE	A	690	631
-1	-influenssaa,b,rsvjacovid-19nukleiinihappo(kval)			FALSE	N	33	29
-1	-influenssaa,b,rsvjacovid-19nukleiinihappo(kval),osatutk			FALSE	N	8	8
-1	-influenssaa-rna-osoitus			FALSE	A	37	37
-1	-influenssaa-virus(a/h-2009),variantti,nho(kval)			FALSE	N	15	15
-1	-influenssaa-virus(a/h-2009),variantti,nho(kval)			FALSE	A	9	9
-1	-influenssaa-virus(a/h3),variantti,nho(kval)			FALSE	N	15	15
-1	-influenssaa-virus,nukleiinihappo(kval)			FALSE	A	51	51
-1	-influenssaa-virus,nukleiinihappo(kval)			FALSE	N	36	34
-1	-influenssaa-virus,nukleiinihappo(kval),osatutkimus8577			FALSE	N	11	9
-1	-influenssaa-virus,nukleiinihappo(kval),osatutkimus8577			FALSE	A	8	8
-1	-influenssaa-virus,nukleiinihappo(kval)sis.h7n9)			FALSE	A	6	6
-1	-influenssaa/b,rsvjacovid-19-koronavirus,poc-nukleiinihaponosoitus(kval)			FALSE	N	12	11
-1	-influenssaah1nho(kval)			FALSE	N	16	16
-1	-influenssaavirus,antigeeni			FALSE	N	20	20
-1	-influenssaavirus,nukleiinihaponosoitus			FALSE	A	24	24
-1	-influenssaavirus,nukleiinihappo(kval)			FALSE	A	132	127
-1	-influenssab,nukleiinihappo(kval)			FALSE	N	8	8
-1	-influenssab,osoitus,osatutk.8577			FALSE	N	11	9
-1	-influenssab,osoitus,osatutk.8818			FALSE	N	22	20
-1	-influenssab-virus,nukleiinihappo(kval)			FALSE	N	2105	1531
-1	-influenssab-virus,nukleiinihappo(kval)			FALSE	A	11	11
-1	-influenssabvirus,antigeeni			FALSE	N	18	18
-1	-influenssavirus,nukleiinihaponosoitus			FALSE	N	23	23
-1	-influenssavirus,nukleiinihaponosoitus.			FALSE	N	15	12
-1	-infnho.			FALSE	A	6	6
-1	-infrpak			FALSE	N	944	840
-1	-infrsvnho			FALSE	A	47	47
-1	-infrsvnho			FALSE	N	7	7
40757373	-infvnho			FALSE	N	8	7
-1	-inrscov			FALSE	N	46	43
-1	-inrscov			FALSE	A	6	6
-1	-intem/a10	mm	mm	FALSE	A	8	8
-1	-intem/a15	mm	mm	FALSE	A	8	8
-1	-intem/a5	mm	mm	FALSE	A	8	8
-1	-irtosolututkimus			FALSE	A	12	12
-1	-ivf-bl			FALSE	N	40	40
-1	-ivf-et			FALSE	N	136	125
-1	-jc-virusnukleiinihappo(kvant)			FALSE	N	58	31
-1	-jo-1			FALSE	A	17	13
-1	-kalium,vieritutkimus	mmol/l	mmol/l	FALSE	A	6	6
3016431	-kalsium,ionisoitunut,korjattuph7,40	mmol/l	mmol/l	FALSE	N	38	36
3021347	-kalsium,ionisoitunutaktuaalisessaph:ssa	mmol/l	mmol/l	FALSE	N	40	37
-1	-kat-vi			FALSE	A	45	42
-1	-kiire			FALSE	N	8	8
-1	-kol/adp	s	s	FALSE	A	12	9
-1	-kol/adr	s	s	FALSE	A	10	8
-1	-kor229e			FALSE	N	10	10
-1	-kor229e			FALSE	A	7	7
-1	-korhku1			FALSE	N	9	9
-1	-korinho			FALSE	A	11	11
-1	-kornl63			FALSE	N	12	12
-1	-kornl63			FALSE	A	12	12
-1	-koroag			FALSE	N	52	43
-1	-koroc43			FALSE	N	10	10
-1	-koroc43			FALSE	A	13	13
-1	-koronaviruksen(covid-19)nukleiinihappo-osoitus			FALSE	N	6	6
-1	-koronavirus,nukleiinihappo(kval)			FALSE	A	9	9
-1	-koronavirus229e,nho			FALSE	N	14	14
-1	-koronavirus229e,nukleiinihaponosoitus			FALSE	N	205	123
-1	-koronavirushku1,nho			FALSE	N	16	16
-1	-koronavirusnl63,nho			FALSE	N	13	13
-1	-koronavirusnl63,nho			FALSE	A	6	6
-1	-koronavirusnl63,nukleiinihaponosoitus			FALSE	N	208	125
-1	-koronavirusoc43,nho			FALSE	A	17	13
-1	-koronavirusoc43,nho			FALSE	N	14	14
-1	-koronavirusoc43,nukleiinihaponosoitus			FALSE	N	203	124
-1	-koronavirusoc43,nukleiinihaponosoitus			FALSE	A	11	10
-1	-koronavirusoc43,nukleiinihappo			FALSE	A	14	14
3042596	-koronho			FALSE	N	941	580
3042596	-koronho			FALSE	A	40	39
-1	-kras-geeninmutaationmääritys			FALSE	N	13	13
-1	-krea	umol/l	umol/l	FALSE	N	270	217
-1	-krea			FALSE	N	7	6
-1	-kreatiniini,vieritutkimus	umol/l	umol/l	FALSE	A	37	28
-1	-kt/v,daugirdaksenkaava			TRUE	N	48	44
-1	-ku72/86			FALSE	A	12	8
-1	-kudosnäytteenhistologinentutkimus,makropreparaatti			FALSE	N	106	105
-1	-kylskåp			FALSE	N	8	6
3051611	-l-ind			TRUE	N	4729	1830
-1	-lak/sak			FALSE	A	16	15
-1	-ld	u/l	u/l	FALSE	N	17	15
-1	-leginho			FALSE	N	121	106
-1	-legionellapneumophila,legionellaspp.os.			FALSE	N	9	9
3037692	-legivi			FALSE	N	16	14
3020565	-lepnnho			FALSE	N	152	147
-1	-leuk			FALSE	N	370	322
-1	-liik.ab	%	%	FALSE	N	30	29
-1	-liik.abc	%	%	FALSE	N	29	28
-1	-liik.abc	%	%	FALSE	L	6	6
3014043	-liik.im	%	%	FALSE	N	2232	722
3014043	-liik.np	%	%	FALSE	N	2231	721
40761995	-liik.pr	%	%	FALSE	N	1793	669
40761995	-liik.pr	%	%	FALSE	L	605	338
40761995	-liik.pr	%	%	FALSE	A	358	204
-1	-liik.pr			FALSE	N	44	41
-1	-linssi	u/ml	u/ml	FALSE	N	8	7
3020356	-listvi			FALSE	A	7	7
3020356	-listvi			FALSE	N	85	69
-1	-lisäma1			FALSE	N	245	239
-1	-lisäma2			FALSE	N	27	27
-1	-lisämaksukiireellisenäpyydetyllenäytteelle			FALSE	N	177	166
-1	-lisätutkimuspyyntöaiemmintutkitullenäytteelle			FALSE	N	64	54
-1	-lisävastaus2laskutuskuitatullenäytteelle			FALSE	N	135	129
-1	-lisävastaus3laskutuskuitatullenäytteelle			FALSE	N	26	26
-1	-lisävastaus4laskutuskuitatullenäytteelle			FALSE	N	11	11
3019284	-lisävastauslaskutuskuitatullenäytteelle			FALSE	N	880	782
-1	-llajitt			FALSE	N	144	137
-1	-lmark			FALSE	N	10	10
3002030	-lymph	%	%	FALSE	A	251	101
-1	-m-komponentti-1,seerumi,elektroforeesifraktio(g/l)	g/l	g/l	FALSE	A	205	51
-1	-m-komponentti-1,seerumi,elektroforeesifraktio(g/l)	g/l	g/l	FALSE	H	28	23
-1	-matolm			FALSE	A	7	7
-1	-matolm			FALSE	N	25	21
-1	-maudnho			FALSE	N	78	72
-1	-mcannho			FALSE	N	78	72
-1	-mdrsvi			FALSE	N	839	464
-1	-mdrsvi			FALSE	A	75	46
-1	-merscov			FALSE	N	11	10
-1	-metapneumovirus,nukleiinihaponosoitus			FALSE	A	18	17
-1	-metapneumovirus,nukleiinihaponosoitus			FALSE	N	201	120
-1	-metapneumovirus,nukleiinihappo(kval)			FALSE	A	14	14
-1	-metapneumovirus,nukleiinihappo(kval)			FALSE	N	10	10
-1	-metisilliiniresistenttistaph.aureus,viljelynenästä			FALSE	N	135	69
-1	-metisilliiniresistenttistaph.aureus,viljelynielusta			FALSE	N	134	69
