TEST_NAME_ABBREVIATION	source_unit_clean	n_records	n_subjects	p_missing_values	value_percentiles	p_NA_AA_A_LL_L_N_H_HH
b-erytrosyytit	e12/l	71924	21469	0	[ 1, 3.4, 3.88, 4.1, 4.3, 4.4, 4.57, 4.7, 4.87, 5.1, 7.2,  ]	[ 39][  0,  8,  0, 19, 33,  1,  0]
e-hemoglobiini,keskimassakonsentraatio	g/l	29449	13247	0	[ 248, 320, 325, 328, 330, 333, 335, 338, 341, 345, 381,  ]	[ 19][  0, 10,  0,  0, 71,  0,  0]
b-hemoglobiini-a1c	mmol/mol	4557	3448	0	[ 20, 32, 34, 35, 36, 37, 38, 40, 42, 49, 118,  ]	[ 15][  0, 19,  0,  0, 65,  1,  0]
fb-leukosyytit	e9/l	9624	5645	0	[ 2, 4.3, 4.82400000000001, 5.3, 5.7, 6.1, 6.6, 7.2, 7.9, 9.1, 40.8,  ]	[  5][  0, 17,  0,  0, 77,  1,  0]
fp-glukoosi	mmol/l	4009	3416	0	[ 3.3, 5, 5.2, 5.3, 5.5, 5.7, 5.8, 6, 6.4, 7.2, 28.9,  ]	[ 41][  0, 25,  0,  0, 31,  3,  0]
s-kalium	mmol/l	875	692	0	[ 3.2, 3.9, 4, 4.1, 4.1, 4.2, 4.3, 4.3, 4.4, 4.6, 5.5,  ]	[  0][  0,  1,  0,  0, 99,  0,  0]
pt-gfre-md	NA	48477	20503	99	[ 19, 40, 50, 56, 65, 69, 74.4, 81, 88, 98.1, 131,  ]	[ 87][  0,  2,  0, 10,  1,  0,  0]
p-tni	NA	63347	31656	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 76][  0,  4,  0,  0, 19,  1,  0]
u-alvhu5b	NA	907	828	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
ts-pad-4	NA	28567	24448	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 70][  9,  2,  0,  0, 19,  0,  0]
fs-kol-hdl	mmol/l	214830	102378	0	[ 0.18, 1, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.77, 2, 5.4,  ]	[ 82][  0,  1,  0, 12,  5,  0,  0]
fs-kol-ldl	mmol/l	214933	102469	0	[ -0.36, 2, 2.4, 2.7, 2.9, 3.2, 3.4, 3.7, 4, 4.5, 194,  ]	[ 43][  0,  3,  0,  0,  3, 51,  0]
u-solu.	NA	87695	23983	100	[ 0, 0.6, 1, 1, 1, 1, 1, 1, 1, 1, 1,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
u-gluk-o	NA	575422	171637	99	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000,  ]	[ 72][  0,  4,  0,  0, 23,  0,  0]
p-ca-iona	mmol/l	326124	39831	0	[ 0.12, 1.04, 1.08, 1.11, 1.13, 1.15, 1.17, 1.19, 1.22, 1.25, 136,  ]	[ 34][  0,  0,  0,  0, 66,  0,  0]
u-solut	NA	477171	144975	100	[ 4, 4.6, 5.2, 5.8, 6.4, 7, 7.6, 8.2, 8.8, 9.4, 10,  ]	[ 78][  0,  0,  0,  0, 21,  0,  0]
p-amyl	u/l	290693	113691	0	[ 2, 26, 34, 40, 46, 52, 59, 67, 79, 104, 7114,  ]	[ 77][  0, 13,  0,  1,  8,  1,  0]
b-lymf	e9/l	241403	47336	0	[ 0, 0.86, 1.14, 1.35, 1.55, 1.74, 1.95, 2.19, 2.5, 2.99, 501.9,  ]	[ 72][  0, 20,  0,  4,  2,  1,  0]
p-haptog	g/l	15067	9499	0	[ 0.01, 0.41, 0.69, 0.91, 1.12, 1.32, 1.54, 1.8, 2.14, 2.65, 6.54,  ]	[ 42][  0, 14,  0,  4, 28, 12,  0]
f-cldtnho	NA	47698	29153	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 80][  0,  5,  0,  0, 15,  0,  0]
b-ph	NA	4048	1540	32	[ 7.01, 7.3, 7.33, 7.36, 7.37, 7.39, 7.4, 7.42, 7.43, 7.46, 7.56,  ]	[ 67][  0, 33,  0,  0,  0,  0,  0]
vb-be	NA	46144	13176	100	[ -1.3, 0.87, 1.4, 2.01, 3, 4.1, 5.72, 6.99, 8.4, 10.03, 19.2,  ]	[ 54][  0, 44,  0,  1,  0,  0,  0]
vb-hbo2sat	%	55372	16855	0	[ 3.3, 28.3, 37.8, 46, 54, 61.7, 68.3, 75.2, 82.6, 90.4, 100.8,  ]	[ 28][  0, 59,  0,  9,  0,  3,  0]
f-calpro	ug/g	105456	43024	1	[ 3.8, 13, 22, 34, 52, 80, 126, 213, 399, 942, 21237,  ]	[ 44][  0, 34,  0,  0, 11, 12,  0]
du-ca	mmol	10569	6234	0	[ 0.01, 1.79, 2.79, 3.65, 4.5, 5.4, 6.31, 7.4, 8.74, 10.8, 87.62,  ]	[ 50][  0, 34,  0,  1,  7,  8,  0]
s-tfr	mg/l	61339	30788	0	[ 0.1, 1, 1.2, 1.5, 1.9, 2.4, 2.9, 3.4, 4.2, 5.8, 77.2,  ]	[ 63][  0, 23,  0,  1,  4,  9,  0]
b-baktvi	NA	427930	105701	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 78][  0,  1,  0,  0, 21,  0,  0]
l-ly	%	131382	30966	0	[ 0, 13, 18, 22, 25, 28, 31.2, 34.9, 39, 45, 100,  ]	[ 67][  0, 27,  0,  1,  5,  1,  0]
p-pct	ug/l	19918	9981	1	[ 0, 0.07, 0.1, 0.14, 0.2, 0.29, 0.44, 0.74, 1.6, 5.71799999999999, 589799,  ]	[ 23][  0, 61,  0,  0,  0, 16,  0]
vb-po2	NA	4639	2651	98	[ 1.6, 2.9, 3.4, 4, 4.62, 5, 5.4, 6.11, 7, 8.14, 12.4,  ]	[ 63][  0, 23,  0,  9,  1,  4,  0]
vb-pco2	NA	5716	3092	98	[ 3.48, 4.5, 5.2, 5.59, 6, 6.2, 6.5, 6.8, 7.5, 8.6, 12.6,  ]	[ 72][  0, 17,  0,  7,  2,  2,  0]
vb-hbo2sat	NA	1049	848	90	[ 13.8, 32.47, 47.4, 58.21, 66.48, 71.2, 75.6, 80.59, 86.68, 90.7, 97.1,  ]	[ 90][  0,  8,  0,  2,  0,  1,  0]
pf-syto	NA	5629	3688	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 74][ 11,  1,  0,  0, 15,  0,  0]
u-lier	e6/l	186705	69547	0	[ 0, 0, 0, 0, 0, 0, 0, 0.13, 0.82, 1.12, 183.2,  ]	[ 95][  0,  4,  0,  0,  0,  0,  0]
s-pr3ab	NA	23180	16767	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 77][  0,  4,  0,  0, 16,  3,  0]
b-t-cd3	e9/l	1749	758	0	[ 0, 0.408, 0.62, 0.83, 1.02, 1.21, 1.42, 1.65, 2.01, 2.58, 33.42,  ]	[ 77][  0, 22,  0,  1,  0,  1,  0]
ly-b-cd19	%	1464	721	0	[ 0, 0, 0, 0, 3, 5, 8, 10, 13, 19, 96,  ]	[ 44][  0, 54,  0,  2,  0,  0,  0]
ly-t-cd4.	%	1459	512	0	[ 0, 19, 26, 33, 37, 41, 46, 51.84, 56, 63, 90,  ]	[ 60][  0, 37,  0,  3,  0,  1,  0]
-gcnho	NA	54224	28517	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 69][  0,  1,  0,  0, 31,  0,  0]
s-trpaab	NA	82291	48239	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 84][  0,  1,  0,  0, 15,  0,  0]
ab-po2	NA	13219	3978	100	[ 5.1, 5.76, 6.42, 7.08, 7.74, 8.4, 10.02, 11.64, 13.26, 14.88, 16.5,  ]	[ 30][  0, 59,  1,  7,  0,  3,  0]
u-prot-o	NA	264420	101091	96	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38,  ]	[ 46][  0,  6,  0,  0, 48,  0,  0]
b-pvk	NA	984741	91789	100	[ 0, 0, 0.043, 0.0845, 0.163, 0.257, 0.345, 0.4575, 0.486, 0.6825, 12.5,  ]	[ 98][  0,  0,  0,  0,  2,  0,  0]
u-eryt	e6/l	250749	91193	0	[ 0, 2.3, 4, 6, 8, 10, 13.7, 19, 31, 90, 1e+05,  ]	[ 72][  0, 26,  0,  0,  1,  1,  0]
u-gluk-o	estimate	110471	37671	2	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  ]	[ 96][  0,  0,  0,  0,  4,  0,  0]
s-t3-v	pmol/l	15586	7242	0	[ 0.3, 3.7, 4.1, 4.3, 4.5, 4.7, 4.9, 5.1, 5.4, 6.1, 31,  ]	[ 81][  0,  8,  0,  1,  9,  2,  0]
l-mono(a)	NA	50901	16996	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 70][  0,  7,  0,  0,  8, 14,  0]
l-eos(a)	NA	48293	16441	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 71][  0,  7,  0,  9,  6,  7,  0]
e-mcv	NA	854034	152821	100	[ 29.5, 84.93, 86, 88, 89, 90, 92, 93, 94.24, 97, 117,  ]	[ 76][  0, 11,  0,  2,  9,  3,  0]
b-pvkt	NA	548891	99288	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
p-bnp	NA	9303	5949	100	[ 209, 209, 209, 209, 209, 209, 209, 209, 209, 209, 209,  ]	[ 42][  0, 48,  0,  0,  2,  8,  0]
b-trom	NA	1941327	214002	100	[ 5, 171.1, 197, 215, 232, 250, 267, 287, 313, 352, 978,  ]	[ 30][  0,  7,  0,  7, 47,  9,  0]
ab-hco3-st	mmol/l	190290	18527	0	[ 3, 21, 22, 23, 24, 25, 26, 26, 27, 29, 57,  ]	[  3][  0,  5,  0, 16, 46, 30,  0]
ts-pad-3	NA	67057	52690	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 77][  5,  1,  0,  0, 17,  0,  0]
l-mono(a)	%	499546	71435	0	[ 0, 6, 7, 8, 8, 9, 10, 11, 12, 13, 86,  ]	[ 47][  0, 13,  0,  0, 28, 11,  0]
c6-indeksi	NA	1792	1203	21	[ 0.02, 0.17, 0.28, 0.438, 0.674, 1.26, 2.866, 5.762, 7.99, 9.494, 11.99,  ]	[ 45][  0, 55,  0,  0,  0,  0,  0]
ab-be	NA	58312	17617	100	[ 4, 4.13, 4.26, 4.39, 4.52, 4.65, 4.78, 4.91, 5.04, 5.17, 5.3,  ]	[ 55][  0, 43,  0,  1,  0,  1,  0]
s-havab	NA	7997	7253	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 77][  0,  4,  0,  0, 19,  0,  0]
s-amylp	u/l	218	198	0	[ 5, 15, 20.4, 25.1, 30, 37, 44, 55, 70, 142.6, 5869,  ]	NA
s-amyls	u/l	205	189	0	[ 1, 11, 17.8, 23, 27, 33, 43.4, 59, 82, 118, 5091,  ]	NA
s-ana	NA	57669	45582	100	[ 320, 320, 320, 336, 368, 400, 752, 1104, 2024, 3512, 5000,  ]	[ 76][  0,  2,  0,  0, 21,  2,  0]
p-etoh	NA	3741	2999	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 75][  0,  2,  0,  0, 23,  0,  0]
u-metam-o	NA	5594	2421	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 71][  0,  1,  0,  0, 29,  0,  0]
s-nmdarab	NA	392	358	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-lc1ab-o	NA	2588	1831	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 61][  0,  0,  0,  0, 39,  0,  0]
p-tnih	NA	442	346	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-ca-17.4	mmol/l	764	363	0	[ 0.84, 1.18, 1.21, 1.23, 1.24, 1.25, 1.27, 1.29, 1.3, 1.33, 2.47,  ]	NA
fp-gluk-0h	mmol/l	156	132	0	[ 4.5, 5.6, 5.9, 6, 6.2, 6.3, 6.4, 6.7, 6.9, 7.2, 9.8,  ]	NA
l-promyel	NA	100584	25802	100	[ 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4,  ]	[ 98][  0,  0,  0,  0,  2,  0,  0]
u-inf	NA	51773	20092	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
ihopisto	NA	3574	2518	100	[ 5.8, 6.33, 6.86, 7.39, 7.92, 8.45, 8.98, 9.51, 10.04, 10.57, 11.1,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
mono	%	41865	13174	0	[ 0, 5.1, 7, 7.7, 8, 9, 10, 10.4, 12, 13.9, 97,  ]	[ 75][  0, 24,  0,  0,  1,  0,  0]
b-erytrosyytit,tilavuusosuus	osuus	81450	24358	0	[ 0.09, 0.31, 0.34, 0.36, 0.38, 0.4, 0.41, 0.42, 0.44, 0.46, 55,  ]	[ 44][  0, 15,  0, 15, 25,  1,  0]
kol/hdlsuh	NA	66822	40358	1	[ 1.1, 2.3, 2.6, 2.9, 3.1, 3.4, 3.7, 4, 4.5, 5.3, 58.6,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
fp-lipidit	NA	274387	103174	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 81][  0,  0,  0,  0, 19,  0,  0]
du-metnef	umol/24h	448	413	0	[ 0.1, 0.31, 0.4, 0.5, 0.58, 0.6, 0.7, 0.8, 0.9, 1.2, 710.2,  ]	NA
b-lakt-d	NA	24923	23665	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 84][  0,  0,  0,  0, 16,  0,  0]
cu-alb-mi	ug/min	5699	2810	0	[ 0, 2, 3, 4, 6, 9.8, 17, 34.62, 79, 217.2, 6432,  ]	[ 57][  0, 33,  0,  0,  6,  4,  0]
s-pappa	mu/l	30639	21607	0	[ 0, 273.08, 425.6, 564.04, 709, 862, 1048, 1281, 1625.4, 2242.52, 52025,  ]	[ 88][  0,  0,  0,  0, 12,  0,  0]
s-tr1seul	NA	24971	17347	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 98][  0,  0,  0,  0,  2,  0,  0]
am-unäkö	NA	213	139	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-bakt	e6/l	12732	3678	0	[ 0, 1, 2, 4, 6, 13, 30, 94, 538.600000000002, 5143.1, 1e+05,  ]	[ 68][  0, 32,  0,  0,  0,  0,  0]
adenovirus	NA	605	433	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
muut	%	8035	6241	0	[ 0, 4, 4, 5, 5, 5, 6, 7, 8, 12, 89,  ]	[ 98][  0,  0,  0,  0,  0,  2,  0]
lieriöt	e6/l	13607	7684	0	[ 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.4, 1, 103,  ]	[ 90][  0,  1,  0,  0,  3,  6,  0]
virtsansolujenhl7-siirtoon	e6/l	3319	1820	0	[ 0, 0.1, 0.3, 0.4, 0.7, 1, 1.7, 2.7, 5, 10.7, 173,  ]	[ 41][  0, 14,  0,  0, 39,  6,  0]
s-hs-crp	mg/l	7574	3606	0	[ 0.1, 0.3, 0.5, 0.73, 1, 1.39, 1.96, 2.82, 4.58, 8.52, 403.1,  ]	[ 56][  0, 14,  0,  0, 15, 16,  0]
s-pinp	ug/l	3019	1424	0	[ 4, 17, 23, 29, 35, 44, 54, 70, 96.4000000000001, 183.2, 1476,  ]	[ 60][  0, 23,  0,  1, 11,  6,  0]
l-eos(a)	%	85099	24848	0	[ 0, 0, 1, 2, 2, 2, 3, 4, 4, 6, 61,  ]	[ 79][  0, 12,  0,  5,  1,  3,  0]
ntkmom	NA	19514	13613	46	[ 0.09, 0.67, 0.75, 0.81, 0.87, 0.93, 1, 1.06, 1.17, 1.32, 8.02,  ]	[ 80][  0,  0,  0,  0, 20,  0,  0]
pt-gluk-r6	NA	21259	11931	100	[ 5, 5.3, 5.6, 5.6, 5.6, 5.85, 6.1, 6.75, 7.4, 8.75, 10.1,  ]	[ 96][  0,  0,  0,  0,  4,  0,  0]
u-levyep	NA	106060	42171	100	[ 0, 0, 0, 0.45, 0.9, 0.95, 1, 1, 1, 2.25, 3.5,  ]	[  8][  0,  0,  0,  0, 83,  9,  0]
fl-hiivavi	NA	5987	4553	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 68][  0, 11,  0,  0, 21,  0,  0]
s-k	mmol/l	107543	59612	0	[ 2, 3.9, 4, 4.1, 4.2, 4.2, 4.3, 4.4, 4.5, 4.6, 7.3,  ]	[ 86][  0,  0,  0,  2, 11,  1,  0]
s-ccpab	eliau/ml	5653	5278	0	[ 0.4, 0.6, 0.7, 0.9, 1, 1.1, 1.2, 1.4, 1.7, 2.3, 338,  ]	[ 96][  0,  0,  0,  0,  1,  4,  0]
s-ca(7.4)	mmol/l	106510	27910	0	[ 0, 1.12, 1.16, 1.19, 1.21, 1.22, 1.24, 1.25, 1.27, 1.31, 2.8,  ]	[ 88][  0,  9,  0,  0,  3,  0,  0]
leukosyytit	e9/l	12520	6134	0	[ 0.7, 4.5, 5.2, 5.7, 6.2, 6.8, 7.3, 8, 9, 10.5, 129.1,  ]	[ 21][  0, 19,  0,  1, 50, 10,  0]
perusverenkuvajatrombosyytit	NA	44891	12579	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 89][  0,  0,  0,  0, 11,  0,  0]
sk-padihot	NA	21107	17592	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 90][  1,  0,  0,  0,  9,  0,  0]
e-aborhsp	NA	12707	6239	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
bio-nla-p	NA	2657	2587	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
biopdna	NA	3171	3163	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
p-kol	NA	29689	19687	100	[ 3.2, 4, 4.4, 4.65, 4.9, 5.1, 5.3, 5.45, 5.5, 5.95, 6.9,  ]	[ 12][  0,  6,  0,  0, 59, 23,  0]
cb-to2c	ml/dl	8909	4955	2	[ 1.6, 12, 13.5, 14.7, 15.7, 16.5, 17.4, 18.1, 19, 20.2, 30.9,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
inanho	NA	6608	4770	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
cb-veion	NA	8959	4969	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
trombosyytit	e9/l	8119	3699	0	[ 20, 169, 195, 217, 235, 253, 272, 294, 323, 368.2, 1506,  ]	[ 38][  0, 16,  0,  0, 45,  0,  0]
alaniiniaminotransferaasi	NA	994	303	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
f-noroago	NA	15	12	NA	NA	NA
crp-pika	NA	10023	4606	54	[ 1, 6, 8, 11, 16, 23, 34, 48, 69, 103, 261,  ]	[ 58][  0,  7,  0,  0, 23, 11,  0]
u-kemseu,gluk	NA	296	153	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-kemseu,ket	NA	260	123	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-mg-ion	mmol/l	4651	1641	0	[ 0.25, 0.5, 0.54, 0.56, 0.58, 0.6, 0.62, 0.64, 0.67, 0.71, 1.22,  ]	[ 54][  0, 37,  0,  2,  5,  1,  0]
p-kysc	mg/l	42452	8601	0	[ 0.17, 0.83, 0.95, 1.06, 1.21, 1.39, 1.61, 1.9, 2.32, 3.14, 70,  ]	[ 25][  0, 43,  0,  0,  8, 24,  0]
p-urea	mmol/l	143869	20349	0	[ 0, 4.2, 5.5, 6.9, 8.6, 10.7, 13.3, 16.3, 19.8, 25.1, 106,  ]	[ 22][  0, 44,  0,  1, 10, 24,  0]
pt-lisälau	NA	8468	7056	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 45][ 26,  3,  0,  0, 26,  0,  0]
vb-vekaas5,po2	kpa	73	43	NA	NA	NA
u-kemseul,ket	NA	4800	1589	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
u-kemseul,op	NA	389	185	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
ab-ca-i7.4	mmol/l	50724	8074	0	[ 0.24, 1, 1.05, 1.08, 1.1, 1.13, 1.15, 1.17, 1.2, 1.23, 2.32,  ]	[ 37][  0, 63,  0,  0,  0,  0,  0]
u-pbg-o	NA	184	162	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
mono	NA	30879	6254	85	[ 0, 0.4, 0.5, 0.6, 0.6, 0.7, 0.8, 0.9, 1, 1.4, 68.9,  ]	[ 72][  0, 27,  0,  0,  0,  0,  0]
s-prealb	g/l	27869	11243	0	[ 0.03, 0.09, 0.13, 0.16, 0.19, 0.21, 0.23, 0.25, 0.27, 0.3, 0.79,  ]	[ 50][  0, 47,  0,  0,  2,  0,  0]
b-slco1b1	NA	555	548	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 92][  0,  0,  0,  0,  8,  0,  0]
l-meta-m	%	2166	781	0	[ 0, 0, 0, 0.5, 1, 1, 1, 2, 2.5, 4, 36,  ]	[ 41][  0, 58,  0,  0,  1,  0,  0]
u-kemseul,suhti	NA	22	18	NA	NA	NA
s-cmvabm	u/ml	211	168	0	[ 5, 5.92, 7.36, 8.33, 9.37, 11.9, 15.5, 20.3, 24.1, 46.3, 128,  ]	NA
s-ebvabm	u/ml	149	139	0	[ 10, 13.18, 15.36, 18.74, 22.08, 26, 32.78, 40.24, 60.88, 115.2, 516,  ]	NA
nitrofur	NA	705	356	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-baktvtk	NA	1571	676	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
u-bakteeri,jatkoviljely,seulottunäyte	NA	3075	1937	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 16][  0, 35,  0,  0, 49,  0,  0]
p-veriryhmävasta-aineet,seulonta	NA	1004	718	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 57][  0,  0,  0,  0, 43,  0,  0]
adenag	NA	84	81	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
prom	%	4480	1619	0	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18,  ]	[ 96][  0,  4,  0,  0,  0,  0,  0]
nst	%	3292	1260	0	[ 0, 0, 0, 0, 0, 1, 1, 1, 2, 5, 39,  ]	[ 91][  0,  9,  0,  0,  0,  0,  0]
-syto	NA	4895	3649	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 83][ 10,  0,  0,  0,  6,  0,  0]
p-iga	g/l	43516	29047	0	[ 0, 0.76, 1.18, 1.47, 1.73, 2.03, 2.36, 2.75, 3.31, 4.48, 81.8,  ]	[ 69][  0, 13,  0,  3, 13,  3,  0]
p-cea	ug/l	42488	10935	4	[ 0.2, 1.6, 2, 2.4, 2.8, 3.5, 4.4, 5.9, 10, 33.1200000000004, 31777,  ]	[ 62][  0, 34,  0,  0,  1,  3,  0]
f-hhb-o	NA	48564	20364	100	[ 95, 98.2, 101.4, 104.6, 107.8, 111, 118.4, 125.8, 133.2, 140.6, 148,  ]	[ 75][  0,  8,  0,  0, 17,  0,  0]
u-prot	NA	22183	9725	97	[ 0.04, 0.05, 0.07, 0.1, 0.15, 0.21, 0.33, 0.53, 0.97, 2.781, 1917,  ]	[ 88][  0,  5,  0,  0,  7,  0,  0]
s-iglck-v	NA	7836	2703	100	[ 0.87, 0.921, 0.972, 1.023, 1.076, 1.13, 1.184, 12.298, 45.532, 78.766, 112,  ]	[ 31][  0, 66,  0,  0,  0,  2,  0]
vrevi	NA	5625	1912	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
korona-rs-influenssa,pcrpikatesti	NA	1381	1123	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[  5][  0,  2,  0,  0, 93,  0,  0]
b-basof	NA	14111	5015	100	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  ]	[ 95][  0,  5,  0,  0,  0,  0,  0]
b-lymfos	NA	14443	5185	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 66][  0, 34,  0,  0,  0,  0,  0]
fs-folaat	NA	23727	18045	100	[ 4.28, 6.26, 9.64, 11.13, 15.16, 20.95, 23.22, 25.96, 28.04, 41.12, 807,  ]	[ 59][  0, 10,  0,  4, 25,  2,  0]
p-gluk,tk	NA	7286	2653	56	[ 2.8, 5.7, 6.3, 6.8, 7.4, 8.2, 9.1, 10.2, 11.8, 14.6, 93.1,  ]	[ 55][  0,  0,  0,  0,  8, 36,  0]
u-osmoest	mosm/kgh2o	24521	7680	0	[ -37000, 370, 440, 520, 550, 630, 700, 770, 890, 1000, 3600,  ]	[ 54][  0, 26,  0,  0, 20,  0,  0]
