TEST_NAME	MEASUREMENT_UNIT	TEST_ID	n_subjects
p-bnp	ng/l	4709	25909
s-psa-suh	NA	4637	25867
cv19nho	NA	6466	25864
f-cldtnho	NA	6141	25788
b-hkr	NA	1001358	25549
b-hb	NA	1001552	25543
b-leuk	NA	1002218	25543
b-eryt	NA	1001341	25543
e-mcv	NA	1001357	25541
b-trom	NA	1002791	25540
e-mch	NA	1001558	25540
p-ca-iona	mmol/l	335	25437
l-blastit	NA	674	24897
l-myelos	NA	676	24838
l-promyel	NA	675	24812
e-rdw	NA	19976	24668
pt-ekg-oma	NA	9526	24622
ca-ion	mmol/l	597	24560
ca++/7.40	mmol/l	596	24486
b-erytrosyytit,tilavuusosuus	osuus	1358	24328
b-hba1c	mmol/mol	650105	24250
p-psa-suh	%	4868	24234
b-la	NA	3002203	24148
s-iga	g/l	1666	24148
ts-pad-4	NA	4194	23986
-ctgcnho	NA	1738	23954
s-borrab	NA	3552	23933
cb-pco2	kpa	1622	23884
fp-kol-ldl	NA	605259	23789
ab-hbo2	%	3240	23415
fp-pth	ng/l	4560	23402
p-ca-ion	NA	3673	23386
p-ca-ion.	mmol/l	13900	23369
p-bil	NA	4592	23358
l-metamye	NA	677	23278
b-hkr	osuus	6001358	23228
p-alat	NA	3001024	23228
pt-gfreepi	NA	13470	23219
fb-leuk	e9/l	6002218	23219
b-eryt	e12/l	6001341	23219
b-hb	g/l	6001552	23219
e-mcv	fl	6001357	23217
e-mch	pg	6001558	23214
e-mchc	g/l	6001557	23213
b-tromb	e9/l	6002791	23167
pt-fvspido	NA	6007	23124
sk-sienvi	NA	3509	23080
b-hb-a1c	%	1560	22978
u-pienep	e6/l	20525	22855
u-levyep	e6/l	20524	22820
non-hdl	NA	10168	22589
b-pvk+t	NA	1002474	22555
u-eryt	e6/l	11344	22523
p-pi	mmol/l	4595	22295
ottotapa	NA	73	22117
p-alat	NA	1001026	22019
p-krea	NA	1002143	21898
s-ige	u/ml	1673	21822
s-borrabg	NA	4095	21739
p-krea	NA	2142	21651
s-prot-fr	NA	2522	21633
cb-ph	NA	1528	21559
s-ph(akt)	ph	5098	21540
b-erytrosyytit	e12/l	1341	21388
b-trombosyytit	e9/l	2791	21188
p-tsh	NA	1002832	21187
u-osmest	mosm/kgh2o	292	21074
fp-ca	mmol/l	4514	21059
p-kol-ldl	NA	6433	20842
fp-trfesat	%	8855	20753
pt-fvspird	NA	2682	20691
p-krea	umol/l	1604748	20690
p-tsh	NA	649821	20528
s-ttgaba	u/ml	1885	20481
b-ghb-a1c	%	1560	20400
b-pvk+t	NA	6002474	20386
p-igg	g/l	4828	20375
s-cea	ug/l	2034	20367
p-gt	NA	4597	20320
p-b12-vit	pmol/l	4824	20280
p-na	mmol/l	6003622	20207
p-k	mmol/l	6001999	20203
f-baktvi1	NA	3442	20188
s-uraat	umol/l	2884	20184
b-retik	e9/l	2581	20016
pt-gfreepi	NA	5589849	19926
u-lier	e6/l	981	19866
p-urea	mmol/l	4534	19865
u-epit	e6/l	980	19863
p-fidd	NA	4113	19810
p-crp	NA	3005293	19771
p-lipidit	NA	6435	19733
ab-o2-vol	%	3178	19730
f-hepyag	NA	3952	19716
fp-gluk	NA	1001469	19700
p-afos	u/l	605244	19596
p-k	NA	1001999	19505
p-na	NA	1003622	19504
pt-gfreepi	NA	6354	19439
u-solu.	NA	55028	19402
pt-gfre-md	NA	6000	19363
u-inf	NA	12520	19333
p-ca-albk	mmol/l	8293	19326
fp-kol	NA	1002095	19221
p-alb	NA	4586	19206
fp-kol	mmol/l	605256	19182
p-t4-v	pmol/l	649822	19167
linkkiweblabiin	NA	INFOLINK	19165
s-ccpab	u/ml	4744	19144
s-borrabm	NA	4096	19116
b-vrab-gr	NA	4469	19081
b-la	mm/h	3002203	19046
fp-kol-hdl	mmol/l	605257	19041
fp-kol-ldl	NA	1002099	19034
fp-trigly	NA	1002770	19031
rakkoaika	h	91	18866
p-t4v	pmol/l	4832	18801
fp-trigly	mmol/l	605258	18800
s-ca(akt)	mmol/l	5097	18775
p-kol	NA	6429	18674
fp-kol-ldl	NA	3005319	18662
p-alat	u/l	1605001	18606
fp-kol	NA	3004515	18442
s-igakeli	NA	8146	18437
fp-kol-hdl	NA	3004516	18411
fp-trigly	NA	3004568	18361
b-erybla	NA	649167	18314
tth-screen	NA	10142	18308
e-rdw	NA	649166	18295
p-psa	NA	4869	18242
p-korsol	nmol/l	2128	18221
pt-gfre	NA	645275	18183
fp-kol-hdl	NA	2002097	17929
hdl/kol	NA	1000505	17887
p-kol-hdl	NA	6431	17884
pt-gfreepi	NA	90062	17880
p-krea	umol/l	645274	17826
e-rdw	%	50498	17527
vekapak1	NA	20581	17476
b-lakt-d	NA	4614	17420
vb-hco3-st	mmol/l	9075	17374
pt-gfreepi	ml/min/173m2	90062	17362
l-basof	%	599	17341
l-neutr	%	612	17336
l-monos	%	197	17325
l-lymfos	%	191	17306
l-eosin	%	598	17300
b-hkr	NA	6001358	17200
p-trigly	NA	4530	17142
fs-fe	umol/l	2566	17137
p-tsh	NA	606115	17132
u-canna-o	NA	3455	17111
fb-leuk	NA	6002218	17095
b-eryt	NA	6001341	17083
b-hb	NA	6001552	17077
e-mch	NA	6001558	17066
b-tromb	NA	6002791	17065
e-mcv	NA	6001357	17061
e-mchc	NA	6001557	17056
u-bendi-o	NA	1178	17054
fp-kol	NA	605256	17027
ab-hco3-st	mmol/l	9314	16966
fp-kol-hdl	NA	605257	16964
fp-trigly	NA	605258	16923
s-psa-v	NA	4254	16909
u-opiaa-o	NA	2435	16807
u-bakt	NA	290	16715
fp-kol-hdl	NA	1002097	16666
s-rf	NA	3550	16659
u-amfet-o	NA	1055	16647
p-hco3	mmol/l	13407	16632
fp-gluk	mmol/l	6001468	16568
cb-he-tase	NA	1542	16521
e-rdw	NA	20408	16485
p-nak	NA	1605253	16430
p-igm	g/l	4829	16421
p-k+na	NA	1000591	16326
s-korsol	nmol/l	2129	16236
pt-ekg-12	NA	6001270	16215
p-crp	mg/l	605241	16199
infbnho	NA	25049	16130
-trfesat	%	4606	16126
p-crp	NA	1001216	16125
s-kipa	NA	10164	16099
u-nitr-o	NA	6003094	16090
s-ttgabg	NA	1886	16077
u-hb-o	NA	6001556	16074
u-ph	NA	6001530	16074
u-suhti	NA	6002715	16065
u-keto-o	NA	6001122	16053
u-gluk-o	NA	6001479	16042
b-pvk+t	NA	5597373	16027
p-krea	NA	1604748	15992
ab-be	mmol/l	9224	15954
u-leuk-o	NA	6002223	15932
b-hba1c	NA	620426	15931
s-emaba	NA	4390	15797
fp-kol-ldl	mmol/l	1605024	15767
p-krea	NA	3002142	15747
-cv19nho	NA	652600	15734
ab-hbo2sat	%	1533	15717
s-pr3ab	NA	4160	15632
pt-ekg-atk	NA	1001272	15624
u-koka-o	NA	4128	15618
p-afos	NA	605244	15562
kol/hdlsuh	NA	10037	15557
f-salmvi	NA	2608	15513
p-probnp	NA	4760	15492
p-crp	NA	1605013	15479
s-b12-tc2	NA	617336	15466
pt-polamb	NA	1784	15459
-pocabrc	NA	22360	15448
u-alb-o	NA	6001030	15403
pt-glomerulussuodosnopeus,estimoitu,ckd-epi-kaava	ml/min/173m2	13470	15380
vb-be	mmol/l	9074	15347
p-t4-v	NA	606116	15305
b-hemoglobiini	g/l	1552	15297
f-hhb-o	NA	3813	15204
fp-kol	mmol/l	1605022	15049
fs-folaat	NA	1416	14964
b-la	NA	1002203	14934
sk-padihot	NA	4184	14847
e-abo-rh	NA	29510	14826
b-hba1c	NA	607918	14777
p-k	NA	6001999	14767
p-na	NA	6003622	14761
rsvnho	NA	6198	14588
ps-strvi	NA	3002703	14586
b-eryt	e12/l	101341	14524
p-t3-v	pmol/l	6362	14524
e-mcv	fl	101357	14524
b-trom	e9/l	102791	14523
e-mch	pg	101558	14514
p-vrab-o	NA	29530	14460
b-hba1c	NA	650105	14423
fp-kol-hdl	mmol/l	1605023	14303
p-tfr	NA	4720	14269
l-baso(a)	%	1168	14261
b-hba1c	mmol/mol	7036281	14219
fp-lipidit	NA	645646	14210
p-ca-iona	mmol/l	50097	14159
b-hb	g/l	101552	14156
p-tsh	mu/l	1605042	14152
-hpvnho	NA	4075	14150
tark2b	NA	08965	14100
fs-ace	u/l	1092	14093
s-enaab	NA	3022	14044
vb-hbo2sat	%	3812	14035
pt-gfre	NA	656400	14030
l-eos(a)	%	1332	14023
l-neut	%	10459	14014
fp-trigly	mmol/l	1605041	13960
u-tutkesi	NA	3000360	13899
s-pappa	mu/l	4549	13853
s-keliseu	NA	20148	13849
l-monos	%	10466	13847
ab-hb	g/l	19530	13830
e-punasolujenkokojakauma	%	20408	13800
b-eos	e9/l	10753	13764
b-neut	e9/l	10754	13743
fp-urea	mmol/l	4573	13741
p-t4-v	NA	1002836	13711
ly-hlab27	NA	3075	13677
s-prealb	mg/l	2494	13675
l-ly	%	10465	13613
p-ferrit	NA	4826	13590
p-alat	NA	1605001	13567
u-baktjvi	NA	3003777	13481
u-ph	form	1530	13375
basof	%	11582	13281
eosin	%	11584	13269
monos	%	11581	13260
lymfos	%	11580	13259
u-baktvi	NA	6001155	13253
ab-hb-met	%	19533	13253
s-prl	mu/l	2507	13242
ab-o2sat	%	8541	13241
neutros	%	11579	13231
s-ph	NA	11554	13228
s-asat	u/l	1128	13171
s-hbvpak	NA	17602	13149
b-pvk+ne	NA	55043	13128
u-eryt-o	NA	3001345	13110
s-ca-i7.4	mmol/l	10299	13090
u-leuk-o	NA	3002223	13076
u-alb-o	NA	3001030	13028
ab-hb-co	%	19532	13023
u-gluk-o	NA	3001479	12982
u-nitr-o	NA	3003094	12922
u-keto-o	NA	3001122	12918
p-t4v	pmol/l	1605037	12911
u-bupre-o	NA	4203	12894
p-alat	u/l	101024	12828
b-hba1c	NA	620425	12748
s-ttgaba	NA	3001885	12716
pt-lämpöt	°c	50017	12630
perusverenkuvajatrombosyytit	NA	2474	12577
s-tpoab	NA	4028	12553
p-afos	NA	1001046	12518
p-myogl	ug/l	4602	12485
fp-gluk	NA	6001468	12455
cb-hco3-st	mmol/l	154	12432
-h-ind	NA	20536	12372
e-hemoglobiini,keskimassakonsentraatio	g/l	1557	12342
p-afos	NA	3005282	12314
e-rdw	NA	11086	12237
b-neut	e9/l	3003238	12212
s-ca-iona	mmol/l	11564	12170
pt-notto1	NA	9900	12146
p-t4-v	NA	649822	11952
u-krea	NA	2145	11897
s-shbg	nmol/l	2737	11852
hdl/kol	NA	505	11851
s-ca12-5	u/ml	3414	11833
p-fibr	g/l	1399	11820
b-pvk+tkd	NA	3002475	11741
e-rdw	%	10838	11730
u-alb	NA	3001029	11723
p-d-25	nmol/l	1220	11709
p-gt	u/l	605248	11660
s-tsh	NA	3002832	11641
fp-kol-ldl	NA	1605024	11627
-cv19ag4	NA	7904	11587
s-tr1seul	NA	4548	11579
b-eos	e9/l	3001330	11525
fp-kol	NA	1605022	11501
e-vrtark	NA	50271	11422
u-huum-o	NA	4221	11415
f-baktvip	NA	21088	11382
p-gt	NA	1001489	11346
p-kreatiniini	umol/l	2142	11312
u-kemseul	NA	7353571	11297
neut	%	612	11276
pt-gfreepi	NA	11326	11235
baso	%	599	11222
fp-kol-hdl	NA	1605023	11137
s-prealb	g/l	2494	11121
mono	%	197	11111
s-ana	titre	2819	11074
eos	%	598	11064
pt-gfreepi	ml/min/173m2	0232	11056
lymf	%	191	11055
b-pvk+tmd	NA	3695	11046
s-ca19-9	u/ml	3412	11036
fp-trigly	NA	1605041	11004
u-kemseul	NA	1003268	10969
l-neut(a)	%	3000398	10922
p-trombai	s	2782	10915
l-lymf(a)	%	3009235	10914
l-mono(a)	%	3000399	10906
cb-be	mmol/l	151	10895
l-eos(a)	%	3001332	10894
s-ca-iona	mmol/l	50098	10889
l-baso(a)	%	3001168	10889
b-ly	e9/l	3003223	10876
b-monos	e9/l	3003230	10862
fs-transf	g/l	2756	10856
u-baktvi	NA	1001155	10830
b-baso	e9/l	3003157	10825
s-hivagab	NA	615613	10818
u-suhti	kg/l	2715	10710
s-ca	mmol/l	2013	10704
u-krea	NA	3002145	10664
b-erblast	e9/l	602870	10609
b-hkr	osuus	3001358	10591
b-hkr	%	101358	10573
p-cea	ug/l	6363	10548
p-krea	NA	645274	10532
p-psa-v	NA	4900	10530
b-vr+vrab	NA	55019	10505
b-hba1c	NA	7036281	10470
p-ca-albk	NA	613775	10450
p-tsh	NA	1605042	10299
p-alb	g/l	605243	10296
f-calpro	NA	4803	10254
b-eos	%	10194	10245
b-ly	%	10198	10245
b-neut	%	10541	10244
b-bas	%	10191	10244
b-monos	%	10200	10243
pt-gfre-md	ml/min/173m2	6000	10229
e-rdw	%	1349	10227
p-ferrit	ug/l	617876	10218
p-ca-ion	mmol/l	3673	10196
s-lzm	mg/l	2289	10179
s-ssbab	NA	3323	10131
p-ca-ion.	mmol/l	50309	10120
ts-pad-5tu	NA	807	10098
ab-shco3	mmol/l	50040	10051
b-retik	NA	2581	10050
u-ph	NA	3001530	10029
s-mpoabg	NA	4149	10019
ap-k	mmol/l	50208	10008
ap-na	mmol/l	50209	10006
b-diffi	NA	3002225	9999
s-mypnab	NA	2367	9998
ab-thb	g/l	50047	9983
fs-gluk	mmol/l	1469	9973
ab-vekaasl	NA	55045	9958
ab-hb-met	%	50036	9953
b-hba1c	NA	620262	9951
ab-hb-co	%	50034	9944
pt-biop	NA	50502	9943
s-dnanab	NA	1261	9941
p-fviii.	%	8091	9934
lisävast	NA	11200	9896
b-neut	NA	3003238	9878
b-hba1c	NA	620261	9873
b-ghb-a1c	NA	3001560	9871
u-ph-o	NA	3667	9857
li-prot	mg/l	2514	9855
b-hkr	%	1101358	9817
u-chtrnho	NA	615569	9807
s-igg	g/l	1676	9795
p-at3	%	1103	9786
f-noronho	NA	4940	9768
fp-gluk	mmol/l	101468	9765
b-laktteh	mmol/l	10303	9753
p-d-25	nmol/l	6401	9746
cb-po2	kpa	1536	9698
p-ca-albk	mmol/l	50444	9674
b-baktjvi	NA	4093	9657
b-la	mm/h	6002203	9646
s-hbcabm	NA	3347	9635
p-rf	NA	8849	9625
s-alb	g/l	1028	9616
u-syto	NA	4078	9600
s-mitoab	NA	2357	9591
s-anca	NA	3612	9567
s-dgpabg	NA	6299	9549
ap-laktaat	mmol/l	50210	9540
fl-strbvi	NA	1729	9530
s-siliab	NA	2634	9499
p-ca	mmol/l	605254	9496
-infabag	NA	4746	9465
s-b12-tc2	NA	616408	9440
b-tbifng	NA	6173	9408
s-bio	NA	21466	9401
p-ca-albk	mmol/l	613776	9394
pu-sienvi	NA	3508	9390
u-solu.	NA	1605254	9386
14272	e9/l	14272	9377
p-fidd-o	mg/l	3939	9368
vb-he-tase	NA	1543	9351
s-rf	iu/ml	3550	9348
e-erytrosyytit,keskitilavuus	fl	1357	9331
e-hemoglobiini,keskimassa	pg	1558	9328
p-t4v	NA	1605037	9320
b-leuk	e9/l	102218	9299
u-krea	mmol/l	10458	9235
s-smab	NA	3324	9235
ph	NA	1000595	9226
p-na	mmol/l	103622	9197
b-perusverenkuva+trombosyytit	NA	2474	9166
sy-kide-o	NA	2055	9113
cb-vekaas	NA	3648	9101
fe-folaat	NA	1414	9100
e-rdw	%	0450	9096
pt-klr-tje	NA	2068	9094
s-fsh	iu/l	1422	9042
s-mypnabm	NA	4151	9041
b-na	mmol/l	10208	9037
b-k	mmol/l	10207	9036
-cv19ag5	NA	7905	8960
b-eos	NA	3001330	8958
u-suhti.	NA	21702	8952
u-leuk-o.	NA	21703	8900
u-ph.	NA	21701	8897
u-gluk-o.	NA	21706	8897
u-keto-o.	NA	21707	8895
s-bil	umol/l	1185	8892
u-prot-o.	NA	21708	8892
u-alb	NA	10457	8867
p-k	mmol/l	101999	8851
s-fsh	u/l	1422	8826
s-ebvab	NA	1335	8816
b-erblast	e9/l	50610	8800
s-ph	NA	3008523	8794
b-erblast	NA	602870	8794
e-mchc	g/l	101557	8789
s-cmvab	NA	2727	8763
li-gluk	mmol/l	1470	8728
p-crp	mg/l	1605013	8725
p-gt	NA	605248	8711
ab-ahco3	mmol/l	50038	8710
p-asat	NA	4591	8705
u-nitr-o.	NA	21705	8699
s-gamma	g/l	8955	8682
ts-fnab	NA	3990	8678
p-afos	u/l	1605000	8664
s-rnpab	NA	3317	8657
b-hb-co	%	1566	8654
p-gt	NA	3005292	8650
u-epipien	e6/l	50203	8639
ab-ahco3	mmol/l	10086	8627
p-prealb	g/l	4618	8613
b-ghb-a1c	NA	1001560	8593
nlaatu	NA	98	8569
ab-vkteho	NA	11429	8566
li-solut	NA	2655	8565
ab-hb	g/l	10091	8551
b-ph	ph	103	8540
p-hco3	mmol/l	106	8540
u-bakt	NA	49136	8537
s-ebvabm	NA	1337	8534
b-pco2	kpa	104	8532
b-po2	kpa	107	8527
s-cmvabm	NA	4169	8524
e-aborh	NA	30084	8477
ca-ion	NA	1000597	8442
ca++/7.40	NA	1000596	8432
l-eos(a)	NA	3001332	8416
b-monos	NA	3003230	8416
b-ly	NA	3003223	8416
l-baso(a)	NA	3001168	8416
l-lymf(a)	NA	3009235	8416
s-b12-vit	NA	3001137	8416
b-baso	NA	3003157	8416
l-mono(a)	NA	3000399	8416
l-neut(a)	NA	3000398	8416
s-cea	NA	2034	8399
pt-fvspiro	NA	2680	8398
p-kysc	mg/l	4507	8389
ab-hbo2sat	%	10530	8349
psa-v/psa	NA	10792	8341
u-suhti-o	NA	0715	8323
pt-ekg-24h	NA	1279	8315
b-vrab-gr	NA	3004469	8292
pt-gfre	ml/min/173m2	645275	8278
