id,source,abbreviation,abbreviation_source,name_fi,name_se,unit,source_concept_id,concept_id_omop_grouped
1025,LABfi,pf-alat,Pf-ALAT,Pf-Alaniiniaminotransferaasi,Pf-Alaninaminotransferas,U/l,2014000123,NA
1026,LABfi,s-alat,S -ALAT,S -Alaniiniaminotransferaasi,S -Alaninaminotransferas,U/l,2014000124,3006923
1027,LABfi,li-alb,Li-Alb,Li-Albumiini,Li-Albumin,mg/l,2014000125,3024474
1028,LABfi,s-alb,S -Alb,S -Albumiini,S -Albumin,g/l,2014000126,3024561
1029,LABfi,u-alb,U -Alb,U -Albumiini,U -Albumin,mg/l,2014000127,3012516
1030,LABfi,u-alb-o,U -Alb-O,U -Albumiini (kval),U -Albumin (kval),Lomake,2014000128,3025987
1031,LABfi,e-aldol,E -Aldol,E -Aldolaasi,E -Aldolas,U/g_Hb,2014000129,NA
1032,LABfi,s-aldol,S -Aldol,S -Aldolaasi,S -Aldolas,U/l,2014000130,3027953
1033,LABfi,du-aldos,dU-Aldos,dU-Aldosteroni,dU-Aldosteron,nmol,2014000131,3000690
1034,LABfi,s-aldos,S -Aldos,S -Aldosteroni,S -Aldosteron,pmol/l,2014000132,3001788
1035,LABfi,pt-aldos-r,Pt-Aldos-R,"Pt-Aldosteronismin tutkiminen, perustutkimus","Pt-Undersökning av aldosteronism, grundundersökning",Lomake,2014000133,NA
1036,LABfi,s-aldos-m,S -Aldos-M,"S -Aldosteroni, makuu","S -Aldosteron, liggande ställning",pmol/l,2014000134,3004280
1037,LABfi,s-aldos-p,S -Aldos-P,"S -Aldosteroni, pysty","S -Aldosteron, stående ställning",pmol/l,2014000135,3003171
1038,LABfi,s-antitry,S -Antitry,S -Alfa-1-antitrypsiini,S -Alfa-1-antitrypsin,g/l,2014000136,3026285
1039,LABfi,am-afp,Am-AFP,Am-Alfa-1-fetoproteiini,Am-Alfa-1-fetoprotein,mg/l,2014000137,3010296
1040,LABfi,s-afp,S -AFP,S -Alfa-1-fetoproteiini,S -Alfa-1-fetoprotein,ug/l,2014000138,3015916
1041,LABfi,s-a1glypr,S -A1Glypr,"S -Alfa-1-glykoproteiini, hapan","S -Alfa-1-glykoprotein, surt",mg/l,2014000139,3008877
1042,LABfi,s-a2makro,S -A2Makro,S -Alfa-2-makroglobuliini,S -Alfa-2-makroglobulin,g/l,2014000140,3009827
1043,LABfi,s-aendorf,S -AEndorf,S -Alfa-endorfiini,S -Alfa-endorfin,pmol/l,2014000141,NA
1044,LABfi,fs-alipopr,fS-ALipopr,fS-Alfa-lipoproteiini,fS-Alfa-lipoprotein,mg/l,2014000142,NA
1045,LABfi,li-afos,Li-AFOS,Li-Alkalinen fosfataasi,Li-Alkaliskt fosfatas,U/l,2014000143,NA
1046,LABfi,s-afos,S -AFOS,S -Alkalinen fosfataasi,S -Alkaliskt fosfatas,U/l,2014000144,3035995
1047,LABfi,s-afosinh,S -AFOSinh,"S -Alkalinen fosfataasi, inhiboitu","S -Alkaliskt fosfatas, inhiberad",Lomake,2014000145,NA
1048,LABfi,s-afos-is,S -AFOS-Is,"S -Alkalinen fosfataasi, isoentsyymit","S -Alkaliskt fosfatas, isoenzymer",Lomake,2014000146,3021952
1049,LABfi,s-afos-hs,S -AFOS-Hs,"S -Alkalinen fosfataasi, lämpöstabiili","S -Alkaliskt fosfatas, värmestabilt",U/l,2014000147,NA
1050,LABfi,bm-afos-vr,Bm-AFOS-Vr,"Bm-Alkalinen fosfataasi, värjäys","Bm-Alkaliskt fosfatas, färgning",Lomake,2014000148,NA
1051,LABfi,l-afos-vr,L -AFOS-Vr,"L -Alkalinen fosfataasi, värjäys","L -Alkaliskt fosfatas, färgning",Lomake,2014000149,NA
1053,LABfi,s-amebab,S -AmebAb,"S -Ameeba, vasta-aineet","S -Amöba, antikroppar",Titteri,2014000150,NA
1054,LABfi,f-amebna,F -AmebNa,"F -Ameeba, natiivivalmiste","F -Amöba, nativpreparat",Lomake,2014000151,NA
1055,LABfi,u-amfet-o,U -Amfet-O,U -Amfetamiini (kval),U -Amfetamin (kval),Lomake,2014000152,3027944
1056,LABfi,af-aminoh,Af-Aminoh,Af-Aminohapot,Af-Aminosyror,Lomake,2014000153,NA
1057,LABfi,am-aminoh,Am-Aminoh,Am-Aminohapot,Am-Aminosyror,Lomake,2014000154,NA
1058,LABfi,du-aminoh,dU-Aminoh,dU-Aminohapot,dU-Aminosyror,Lomake,2014000155,3012864
1059,LABfi,li-aminoh,Li-Aminoh,Li-Aminohapot,Li-Aminosyror,Lomake,2014000156,3032940
1060,LABfi,f-aminoh,F -Aminoh,F -Aminohapot,F -Aminosyror,Lomake,2014000157,NA
1061,LABfi,p-aminoh,P -Aminoh,P -Aminohapot,P -Aminosyror,Lomake,2014000158,3013336
1062,LABfi,u-aminoh,U -Aminoh,U -Aminohapot,U -Aminosyror,Lomake,2014000159,3032641
1063,LABfi,u-aminh-o,U -Aminh-O,U -Aminohapot (kval),U -Aminosyror (kval),Lomake,2014000160,NA
1068,LABfi,s-amitrip,S -Amitrip,S -Amitriptyliini,S -Amitriptylin,nmol/l,2014000161,3019920
1069,LABfi,pt-nh4cl-r,Pt-NH4Cl-R,Pt-Ammoniumkloridi-koe,Pt-Ammoniumklorid-test,Lomake,2014000162,NA
1070,LABfi,fb-nh4-ion,fB-NH4-ion,fB-Ammonium-ioni,fB-Ammoniumjon,umol/l,2014000163,NA
1071,LABfi,fp-nh4-ion,fP-NH4-ion,fP-Ammonium-ioni,fP-Ammoniumjon,umol/l,2014000164,3023183
1072,LABfi,u-nh4-ion,U -NH4-ion,U -Ammonium-ioni,U -Ammoniumjon,umol/l,2014000165,NA
1073,LABfi,af-amyl,Af-Amyl,Af-Amylaasi,Af-Amylas,U/l,2014000166,NA
1074,LABfi,as-amyl,As-Amyl,As-Amylaasi,As-Amylas,U/l,2014000167,3008691
1075,LABfi,du-amyl,dU-Amyl,dU-Amylaasi,dU-Amylas,U,2014000168,NA
1076,LABfi,f-amyl,F -Amyl,F -Amylaasi,F -Amylas,U/kg,2014000169,NA
1077,LABfi,pa-amyl,Pa-Amyl,Pa-Amylaasi,Pa-Amylas,U/l,2014000170,NA
1078,LABfi,s-amyl,S -Amyl,S -Amylaasi,S -Amylas,U/l,2014000171,3016771
1079,LABfi,se-amyl,Se-Amyl,Se-Amylaasi,Se-Amylas,U/l,2014000172,3016771
1080,LABfi,u-amyl,U -Amyl,U -Amylaasi,U -Amylas,U/l,2014000173,3017315
1081,LABfi,pt-amyl-cl,Pt-Amyl-Cl,Pt-Amylaasin poistuma,Pt-Amylasclearance,ml/s,2014000174,NA
1082,LABfi,pt-amyl-2h,Pt-Amyl-2h,"Pt-Amylaasi-koe,2 h","Pt-Amylastest,2 h",U/2h,2014000175,NA
1083,LABfi,s-amyl-is,S -Amyl-Is,"S -Amylaasi, isoentsyymit","S -Amylas, isoenzymer",Lomake,2014000176,3009876
1084,LABfi,u-amyl-is,U -Amyl-Is,"U -Amylaasi, isoentsyymit","U -Amylas, isoenzymer",Lomake,2014000177,NA
1085,LABfi,s-adioni,S -ADIONI,S -Androstendioni,S -Androstendion,nmol/l,2014000178,3022411
1086,LABfi,du-andro,dU-Andro,dU-Androsteroni,dU -Androsteron,umol,2014000179,NA
1087,LABfi,s-andro,S -Andro,S -Androsteroni,S -Androsteron,nmol/l,2014000180,NA
1088,LABfi,s-angio1m,S -Angio1M,"S -Angiotensiini I, makuu","S -Angiotensin I, liggande ställning",pmol/l,2014000181,NA
1089,LABfi,s-angio1p,S -Angio1P,"S -Angiotensiini I, pysty","S -Angiotensin I, stående ställning",pmol/l,2014000182,NA
1090,LABfi,s-angio2m,S -Angio2M,"S -Angiotensiini II, makuu","S -Angiotensin II, liggande ställning",pmol/l,2014000183,NA
1091,LABfi,s-angio2p,S -Angio2P,"S -Angiotensiini II, pysty","S -Angiotensin II, stående ställning",pmol/l,2014000184,NA
1092,LABfi,fs-ace,fS-ACE,fS-Angiotensiini-1-konvertaasi,fS-Angiotensin-1-konvertas,U/l,2014000185,3034780
1093,LABfi,-micae,-MICAe,"-Bakteeri, aerobinen MIC-määritys","-Bakterie, aerob MIC-bestämning",Lomake,2014000186,NA
1094,LABfi,p-adh,P -ADH,P -Antidiureettinen hormoni,P -Antidiuretiskt hormon,ng/l,2014000187,NA
1095,LABfi,s-adhab,S -ADHAb,"S -Antidiureettinen hormoni, vasta-aineet","S -Antidiuretiskt hormon, antikroppar",Titteri,2014000188,NA
1097,LABfi,p-fviii,P -FVIII,P -Hyytymistekijä VIII,P -Koagulationsfaktor VIII,Lomake,2014000189,3019250
1098,LABfi,p-fviiiab,P -FVIIIAb,"P -Hyytymistekijä VIII, vasta-aineet","P -Koagulationsfaktor VIII, antikroppar",Lomake,2014000190,40761593
1100,LABfi,s-asta,S -ASTA,S -Antistafylolysiini,S -Antistafylolysin,Titteri,2014000191,3035947
1101,LABfi,s-ast,S -AST,S -Antistreptolysiini,S -Antistreptolysin,Titteri,2014000192,3021236
1102,LABfi,s-astabs,S -ASTabs,"S -Antistreptolysiini, absorboitu","S -Antistreptolysin, absorberat",Titteri,2014000193,NA
1103,LABfi,p-at3,P -AT3,P -Antitrombiini III,P -Antitrombin III,Lomake,2014000194,3000515
1104,LABfi,u-antran,U -Antran,U -Antranilaatti,U -Antranilat,Lomake,2014000195,NA
1105,LABfi,p-argvaso,P -ArgVaso,P -Arginiini vasopressiini,P -Arginin vasopressin,pmol/l,2014000196,NA
1106,LABfi,pt-arg-r,Pt-Arg-R,Pt-Arginiini-koe,Pt-Arginintest,pmol/l,2014000197,NA
1107,LABfi,u-aromhi,U -AromHi,U -Aromaattiset hiilivedyt,U -Aromatiska kolväten,Lomake,2014000198,NA
1108,LABfi,ha-as,Ha-As,Ha-Arseeni,Ha-Arsen,Lomake,2014000199,NA
1109,LABfi,u-as,U -As,U -Arseeni,U -Arsen,Lomake,2014000200,NA
1110,LABfi,du-aryls-a,dU-ARYLS-A,dU-Aryylisulfataasi A,dU-Arylsulfatas A,U,2014000201,NA
1111,LABfi,l-aryls-a,L -ARYLS-A,L -Aryylisulfataasi A,L -Arylsulfatas A,Lomake,2014000202,NA
1112,LABfi,du-aryls-b,dU-ARYLS-B,dU-Aryylisulfataasi B,dU-Arylsulfatas B,U,2014000203,NA
1113,LABfi,fs-a-vit,fS-A-Vit,fS-A-vitamiini,fS-A-vitamin,umol/l,2014000204,3013005
1114,LABfi,fp-a-vit,fP-A-Vit,fP-A-vitamiini,fP-A-vitamin,umol/l,2014000205,NA
1115,LABfi,pt-a-vit-r,Pt-A-Vit-R,Pt-A-vitamiini-koe,Pt-A-vitamintest,umol/l,2014000206,NA
1116,LABfi,s-aset,S -Aset,S -Asetoasetaatti,S -Acetoacetat,mmol/l,2014000207,NA
1117,LABfi,s-aset-o,S -Aset-O,S -Asetoasetaatti (kval),S -Acetoacetat (kval),Lomake,2014000208,NA
1118,LABfi,u-aset-o,U -Aset-O,U -Asetoasetaatti (kval),U -Acetoacetat (kval),Lomake,2014000209,NA
1119,LABfi,s-asetoni,S -Asetoni,S -Asetoni,S -Aceton,umol/l,2014000210,NA
1120,LABfi,u-asetoni,U -Asetoni,U -Asetoni,U -Aceton,mmol/l,2014000211,NA
1121,LABfi,s-keto-o,S -Keto-O,S -Asetoniaineet (kval),S -Ketoner (kval),Lomake,2014000212,NA
1122,LABfi,u-keto-o,U -Keto-O,U -Asetoniaineet (kval),U -Ketoner (kval),Lomake,2014000213,3028893
1123,LABfi,e-aches,E -AChEs,E -Asetyylikoliiniesteraasi,E -Acetylkolinesteras,kU/l,2014000214,NA
1124,LABfi,af-asat,Af-ASAT,Af-Aspartaattiaminotransferaasi,Af-Aspartataminotransferas,U/l,2014000215,NA
1125,LABfi,e-asat,E -ASAT,E -Aspartaattiaminotransferaasi,E -Aspartataminotransferas,U/g_Hb,2014000216,NA
1126,LABfi,li-asat,Li-ASAT,Li-Aspartaattiaminotransferaasi,Li-Aspartataminotransferas,U/l,2014000217,NA
1127,LABfi,pf-asat,Pf-ASAT,Pf-Aspartaattiaminotransferaasi,Pf-Aspartataminotransferas,U/l,2014000218,NA
1128,LABfi,s-asat,S -ASAT,S -Aspartaattiaminotransferaasi,S -Aspartataminotransferas,U/l,2014000219,3013721
1129,LABfi,s-asat-is,S -ASAT-Is,"S -Aspartaattiaminotransferaasi,isoentsyymit","S -Aspartataminotransferas, isoenzymer",Lomake,2014000220,NA
1130,LABfi,s-aspeab,S -AspeAb,"S -Aspergillus, vasta-aineet","S -Aspergillus, antikroppar",Titteri,2014000221,NA
1131,LABfi,ex-astmak,Ex-Astmak,Ex-Astmakiteet,Ex-Charcot-Leyden kristaller,Lomake,2014000222,NA
1133,LABfi,s-avlos,S -Avlos,S -Avlosulfoni,S -Avlosulfon,umol/l,2014000223,NA
1134,LABfi,b-b12-vit,B -B12-Vit,B -B12-vitamiini,B -B12-vitamin,pmol/l,2014000224,NA
1135,LABfi,e-b12-vit,E -B12-Vit,E -B12-vitamiini,E -B12-vitamin,pmol/l,2014000225,NA
1136,LABfi,li-b12-vit,Li-B12-Vit,Li-B12-vitamiini,Li-B12-vitamin,pmol/l,2014000226,NA
1137,LABfi,s-b12-vit,S -B12-Vit,S -B12-vitamiini,S -B12-vitamin,pmol/l,2014000227,3009035
1138,LABfi,u-b12-vit,U -B12-Vit,U -B12-vitamiini,U -B12-vitamin,pmol/l,2014000228,40757509
1142,LABfi,s-b12-tc2,S -B12-TC2,"S -B12-vitamiini, transkobalamiini II:een sitoutunut","S -B12-vitamin, bundet till transkobalamin II",pmol/l,2014000229,43054903
1143,LABfi,li-baktag,Li-BaktAg,"Li-Bakteeri, antigeeni","Li-Bakterie, antigen",Lomake,2014000230,NA
1144,LABfi,s-baktag,S -BaktAg,"S -Bakteeri, antigeeni","S -Bakterie, antigen",Lomake,2014000231,NA
1145,LABfi,u-baktag,U -BaktAg,"U -Bakteeri, antigeeni","U -Bakterie, antigen",Lomake,2014000232,NA
1146,LABfi,-baktft,-BaktFt,"-Bakteeri, faagityypitys","-Bakterie, fagtypning",Lomake,2014000233,NA
1147,LABfi,-bakthe,-BaktHe,"-Bakteeri, antibioottiherkkyysmääritys","-Bakterie, antibiotikakänslighetsbestämning",Lomake,2014000234,NA
1149,LABfi,-baktlm,-BaktLm,"-Bakteeri, aerobinen lajimääritys","-Bakterie, aerob artbestämning",Lomake,2014000235,NA
1150,LABfi,li-baktna,Li-BaktNa,"Li-Bakteeri, natiivivalmiste","Li-Bakterie, nativpreparat",Lomake,2014000236,NA
1151,LABfi,u-baktna,U -BaktNa,"U -Bakteeri, natiivivalmiste","U -Bakterie, nativpreparat",Lomake,2014000237,NA
1152,LABfi,-baktty,-BaktTy,"-Bakteeri, tyypitys",-Bakterietypning,Lomake,2014000238,NA
1153,LABfi,b-baktvi,B -BaktVi,"B -Bakteeri, viljely",B -Bakterieodling,Lomake,2014000239,3023368
1154,LABfi,li-baktvi,Li-BaktVi,"Li-Bakteeri, viljely",Li -Bakterieodling,Lomake,2014000240,3016914
1155,LABfi,u-baktvi,U -BaktVi,"U -Bakteeri, viljely",U- Bakterieodling,Lomake,2014000241,3026008
1156,LABfi,-baktvi,-BaktVi,"-Bakteeri, viljely",-Bakterieodling,Lomake,2014000242,3002619
1157,LABfi,li-baktvr,Li-BaktVr,"Li-Bakteeri, värjäys",Li-Bakteriefärgning,Lomake,2014000243,3033386
1158,LABfi,u-baktvr,U -BaktVr,"U -Bakteeri, värjäys",U -Bakteriefärgning,Lomake,2014000244,NA
1159,LABfi,-baktvr,-BaktVr,"-Bakteeri, värjäys",-Bakteriefärgning,Lomake,2014000245,3027247 3037167
1161,LABfi,s-barb,S -Barb,S -Barbituraatit,S -Barbiturater,umol/l,2014000246,NA
1162,LABfi,u-barb,U -Barb,U -Barbituraatit,U -Barbiturater,umol/l,2014000247,NA
1163,LABfi,s-barb-fr,S -Barb-Fr,"S -Barbituraatit, fraktiot","S -Barbiturater, fraktioner",Lomake,2014000248,NA
1164,LABfi,u-barb-fr,U -Barb-Fr,"U -Barbituraatit, fraktiot","U -Barbiturater, fraktioner",Lomake,2014000249,NA
1165,LABfi,s-barb-o,S -Barb-O,S -Barbituraatit (kval),S -Barbiturater (kval),Lomake,2014000250,NA
1166,LABfi,u-barb-o,U -Barb-O,U -Barbituraatit (kval),U -Barbiturater (kval),Lomake,2014000251,NA
1168,LABfi,l-baso,L -Baso,L -Basofiiliset leukosyytit,L -Basofila leukocyter,%,2014000252,3022096
1169,LABfi,s-b1glypr,S -B1Glypr,S -Beeta-1-glykoproteiini,S -Beta-1-glykoprotein,umol/l,2014000253,NA
1170,LABfi,li-b2miglo,Li-B2Miglo,Li-Beeta-2-mikroglobuliini,Li-Beta-2-mikroglobulin,ug/l,2014000254,3009385
1171,LABfi,s-b2miglo,S -B2Miglo,S -Beeta-2-mikroglobuliini,S -Beta-2-mikroglobulin,mg/l,2014000255,3013201
1172,LABfi,u-b2miglo,U -B2Miglo,U -Beeta-2-mikroglobuliini,U -Beta-2-mikroglobulin,ug/l,2014000256,3018081
1173,LABfi,s-bendorf,S -BEndorf,S -Beeta-endorfiini,S -Betaendorfin,pmol/l,2014000257,NA
1174,LABfi,fs-ohbutyr,fS-OHButyr,fS-Beeta-hydroksibutyraatti,fS-Betahydroxybutyrat,umol/l,2014000258,3003985
1175,LABfi,fs-blipopr,fS-BLipopr,fS-Beeta-lipoproteiini,fS-Betalipoprotein,g/l,2014000259,NA
1176,LABfi,s-blph,S -BLPH,S -Beeta-lipotropiini,S-Betalipotropin,pmol/l,2014000260,NA
1177,LABfi,s-bendi,S -Bendi,S -Bentsodiatsepiinit,S -Bensodiazepiner,Lomake,2014000261,NA
1178,LABfi,u-bendi-o,U -Bendi-O,U -Bentsodiatsepiinit (kval),U -Bensodiazepiner (kval),Lomake,2014000262,3000764
1179,LABfi,dj-hco3,Dj-HCO3,Dj-Bikarbonaatti,Dj-Bikarbonat,mmol/l,2014000263,NA
1180,LABfi,gj-hco3,Gj-HCO3,Gj-Bikarbonaatti,Gj-Bikarbonat,mmol/l,2014000264,NA
1181,LABfi,pa-hco3,Pa-HCO3,Pa-Bikarbonaatti,Pa-Bikarbonat,mmol/l,2014000265,NA
1182,LABfi,af-bil,Af-Bil,Af-Bilirubiini,Af-Bilirubin,umol/l,2014000266,NA
1183,LABfi,am-bil,Am-Bil,Am-Bilirubiini,Am-Bilirubin,umol/l,2014000267,NA
1184,LABfi,li-bil,Li-Bil,Li-Bilirubiini,Li-Bilirubin,umol/l,2014000268,NA
1185,LABfi,s-bil,S -Bil,S -Bilirubiini,S -Bilirubin,umol/l,2014000269,3006140
1186,LABfi,f-bil-o,F -Bil-O,F -Bilirubiini (kval),F -Bilirubin (kval),Lomake,2014000270,NA
1187,LABfi,u-bil-o,U -Bil-O,U -Bilirubiini (kval),U -Bilirubin (kval),Lomake,2014000271,3018834
1188,LABfi,am-bil-kj,Am-Bil-Kj,Am-Bilirubiinikonjugaatit,Am-Konjugerat bilirubin,umol/l,2014000272,NA
1189,LABfi,s-bil-kj,S -Bil-Kj,S -Bilirubiinikonjugaatit,S -Konjugerat bilirubin,umol/l,2014000273,3019676
1190,LABfi,li-blastit,Li-Blastit,Li-Blastisolut,Li-Blastceller,Lomake,2014000274,3032352
1191,LABfi,pt-bodypl,Pt-BodyPl,Pt-Bodyplethysmografia,Pt-Kroppspletysmografi,Lomake,2014000275,NA
1195,LABfi,pt-bodypld,Pt-BodyPlD,Pt-Bodyplethysmografia ja bronkodilataatiotutkimus,Pt-Kroppspletysmografi och bronkodilatationsundersökning,Lomake,2014000276,NA
1196,LABfi,pt-bodyplp,Pt-BodyPlP,"Pt-Bodyplethysmografia, provokaatiotutkimus","Pt-Kroppspletysmografi, provokationsundersökning",Lomake,2014000277,NA
1199,LABfi,p-bradyk,P -Bradyk,P -Bradykiniini,P -Bradykinin,pmol/l,2014000278,NA
1200,LABfi,s-br,S -Br,S -Bromidi,S -Bromid,mmol/l,2014000279,NA
1201,LABfi,u-br,U -Br,U -Bromidi,U -Bromid,mmol/l,2014000280,NA
1202,LABfi,u-br-o,U -Br-O,U -Bromidi (kval),U -Bromid (kval),Lomake,2014000281,NA
1203,LABfi,pt-bsp-re,Pt-BSP-Re,"Pt-Bromsulftaleiinikoe, retentio","Pt-Bromsulftaleintest, retention",%,2014000282,NA
1204,LABfi,pt-bsp-r,Pt-BSP-R,"Pt-Bromsulftaleiinikoe, puoliintumisaika","Pt-Bromsulftaleintest, halveringstid",s,2014000283,NA
1205,LABfi,s-brucab,S -BrucAb,"S -Brucella, vasta-aineet","S -Brucella, antikroppar",Lomake,2014000284,NA
1208,LABfi,s-c1qb-ic,S -C1qb-Ic,S -C1q-sitoutuneet immunokompleksit,S -Immunkomplex bundna till C1q,Lomake,2014000285,NA
1209,LABfi,s-c1inh,S -C1Inh,S -C1-Esteraasin inhibiittori,S -C1-Esterasinhibitor,g/l,2014000286,3003245
1210,LABfi,s-fakb,S -FakB,S -Faktori B,S -Faktor B,g/l,2014000287,NA
1211,LABfi,p-fix,P -FIX,P -Hyytymistekijä IX,P -Koagulationsfaktor IX,Lomake,2014000288,3006109
1212,LABfi,s-cocciab,S -CocciAb,"S -Coccidioides, vasta-aineet","S -Coccidioides, antikroppar",Lomake,2014000289,NA
1213,LABfi,e-coombp,E -Coombp,"E -Coombs, suora (polyspesifinen antiseerumi)","E -Coombs, direkt (polyspecifikt antiserum)",Titteri,2014000290,3022907
1214,LABfi,e-coombm,E -Coombm,"E -Coombs, suora (monospesifinen antiseerumi)","E -Coombs, direkt (monospecifikt antiserum)",Titteri,2014000291,NA
1216,LABfi,s-crp,S -CRP,S -C-reaktiivinen proteiini,S -C-reaktivt protein,mg/l,2014000292,3020460
1217,LABfi,s-crp-o,S -CRP-O,S -C-reaktiivinen proteiini (kval),S -C-reaktivt protein  (kval),Lomake,2014000293,3000965
1218,LABfi,fp-c-vit,fP-C-Vit,fP-C-vitamiini,fP-C-vitamin,umol,2014000294,NA
1219,LABfi,du-c-vit,dU-C-Vit,dU-C-vitamiini,dU-C-vitamin,umol,2014000295,NA
1220,LABfi,s-d-25,S -D-25,S -D-vitamiini-25-OH,S -D-vitamin-25-OH,nmol/l,2014000296,40771025
1221,LABfi,du-dhea,dU-DHEA,dU-Dehydroepiandrosteroni,dU-Dehydroepiandrosteron,nmol,2014000297,NA
1222,LABfi,s-dhea,S -DHEA,S -Dehydroepiandrosteroni,S -Dehydroepiandrosteron,nmol/l,2014000298,NA
1225,LABfi,pt-dxm-r1,Pt-DXM-R1,"Pt-Deksametasoni-koe, lyhyt","Pt-Dexametasontest, kort",Lomake,2014000299,3048821
1226,LABfi,pt-dxm-r2,Pt-DXM-R2,"Pt-Deksametasoni-koe, pitkä","Pt-Dexametasontest, långt",Lomake,2014000300,3013517 3052367
1228,LABfi,du-dala,dU-DALA,dU-Delta-aminolevulinaatti,dU-Delta-aminolevulinat,umol,2014000301,3004149
1229,LABfi,e-dala,E -DALA,E -Delta-aminolevulinaatti,E-Delta-aminolevulinat,umol/l,2014000302,NA
1230,LABfi,u-dala,U -DALA,U -Delta-aminolevulinaatti,U-Delta-aminolevulinat,umol/l,2014000303,NA
1231,LABfi,e-dalas,E -DALAS,E -Delta-aminolevulinaattisyntaasi,E-Delta-aminolevulinatsyntas,Lomake,2014000304,NA
1232,LABfi,e-daladt,E -DALADT,E -Delta-aminolevulinaattidehydrataasi,E-Delta-aminolevulinatdehydratas,Lomake,2014000305,NA
1233,LABfi,fs-dokol,fS-Dokol,fS-Deoksikolaatti,fS-Deoxykolat,mmol/l,2014000306,NA
1234,LABfi,s-dokors,S -Dokors,S -Deoksikortikosteroni (11-),S -Deoxikortikosteron (11-),nmol/l,2014000307,NA
1235,LABfi,s-11dok,S -11Dok,S -Deoksikortisoli (11-),S -Deoxikortisol (11-),nmol/l,2014000308,NA
1236,LABfi,s-21dok,S -21Dok,S -Deoksikortisoli (21-),S -Deoxikortisol (21-),Lomake,2014000309,NA
1237,LABfi,pt-defer,Pt-Defer,Pt-Deferoksamiinimesylaatti-koe,Pt-Deferoxaminmesylat-test,Lomake,2014000310,NA
1238,LABfi,e-diafor,E -Diafor,E -Diaforaasi,E -Diaforas,U/g_Hb,2014000311,NA
1239,LABfi,s-dao,S -DAO,S -Diamiinioksidaasi,S -Diaminoxidas,U/l,2014000312,NA
1240,LABfi,s-diatsep,S -Diatsep,S -Diatsepaami,S -Diazepam,umol/l,2014000313,NA
1241,LABfi,u-difenh,U -Difenh,U -Difenhydramiini,U -Difenhydramin,Lomake,2014000314,NA
