group_id	TEST_NAME	UNIT	n	p_missing	deciles	LongName	prefix_meaning	suffix_meaning	group_path	has_component	has_property	has_time_aspect	has_system	has_scale_type	has_method	is_panel
7	s-kudostransglutaminaasi,igavasta-aineet	u/ml	2058	0	[0.2, 0.3, 0.4, 0.45, 0.54, 0.64, 0.77, 0.99, 1.51]		Serum		1.2.1.1.1	Transglutaminase IgA Ab	Arbitrary Concentration	Point in time (spot)	Serum	Qn		FALSE
7	s-kudostransglutaminaasi,igavasta-aineet		3189	99.94			Serum		1.2.1.1.1	Transglutaminase IgA Ab	Presence or Threshold	Point in time (spot)	Serum	Ord		FALSE
7	s-kudostransglutaminaasi,igavasta-aineet(keliakia)	u/ml	5	0			Serum		1.2.1.1.1	Transglutaminase IgA Ab	Arbitrary Concentration	Point in time (spot)	Serum	Qn		FALSE
7	s-kudostransglutaminaasi,igavasta-aineet(keliakia)		149	100			Serum		1.2.1.1.1	Transglutaminase IgA Ab	Presence or Threshold	Point in time (spot)	Serum	Ord		FALSE
7	s-kudostransglutaminaasi,igavasta-aineet,keliakiatutkimus		118	100			Serum		1.2.1.1.1	Transglutaminase IgA Ab	Presence or Threshold	Point in time (spot)	Serum	Ord		FALSE
7	s-kudostransglutaminaasi,iggva(keliakia)		133	100			Serum		1.2.1.1.1	Transglutaminase IgG Ab	Presence or Threshold	Point in time (spot)	Serum	Ord		FALSE
7	s-kudostransglutaminaasi,iggvasta-aineet	u/ml	6	0			Serum		1.2.1.1.1	Transglutaminase IgG Ab	Arbitrary Concentration	Point in time (spot)	Serum	Qn		FALSE
7	s-kudostransglutaminaasi,iggvasta-aineet		2026	100			Serum		1.2.1.1.1	Transglutaminase IgG Ab	Presence or Threshold	Point in time (spot)	Serum	Ord		FALSE
7	s-transglutaminaasivasta-aineet	u/ml	12	0			Serum		1.2.1.1.1	Transglutaminase Ab	Arbitrary Concentration	Point in time (spot)	Serum	Qn		FALSE
7	s-transglutaminaasivasta-aineet		454	100			Serum		1.2.1.1.1	Transglutaminase Ab	Presence or Threshold	Point in time (spot)	Serum	Ord		FALSE
14	b-c-reaktiivinenproteiini	mg/l	29	0			Blood		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Blood	Qn		FALSE
14	b-c-reaktiivinenproteiini		262	44.27	[6, 7.5, 10.67, 13.8, 18.67, 27.69, 37.44, 56, 84]		Blood		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Blood	Qn		FALSE
14	b-c-reaktiivinenproteiinipika		300	37	[7, 10.22, 14.84, 20.3, 29.2, 37.52, 52.47, 75.48, 99.1]		Blood		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Blood	Qn		FALSE
14	b-c-resktiivinenproteiini	mg/l	1201	0	[6, 8.11, 11.16, 14.7, 19.67, 26.61, 38.65, 58.3, 91.79]		Blood		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Blood	Qn		FALSE
14	b-c-resktiivinenproteiini		802	92.39			Blood		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Blood	Qn		FALSE
14	c-reaktiivinenproteiini	1	925	0	[6.19, 8.89, 11.99, 16.88, 23.76, 35.33, 49.12, 74.41, 108.21]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini	mg/l	7963	0	[4.01, 6.22, 9.5, 14.46, 23.15, 35.25, 51.85, 77.94, 126.36]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini		7083	90.23	[6.55, 8.84, 11.73, 17.15, 24.37, 37.67, 52.72, 72.92, 107.1]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini(4594p-crp)	mg/l	143	0	[1, 1.79, 2, 2, 3, 4, 5, 6, 12.8]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	c-reaktiivinenproteiini(4594p-crp)		74	100					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	c-reaktiivinenproteiini(crp)	mg/l	381	0	[1.23, 1.51, 1.92, 2.62, 3.36, 4.75, 6.13, 9.98, 21.06]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini(crp)		250	100					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini(p-crp)	mg/l	500	0	[1, 2, 2, 2.85, 3.14, 4.26, 5.94, 8.93, 19.54]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	c-reaktiivinenproteiini(p-crp)		261	100					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	c-reaktiivinenproteiini,herkkä	mg/l	254	0	[0.22, 0.41, 0.57, 0.84, 1.15, 1.65, 2.42, 3.86, 6.33]				1.2.2.1.2.2.1	C reactive protein.high sensitivity	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini,herkkä		18	94.44					1.2.2.1.2.2.1	C reactive protein.high sensitivity	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini,herkkä,seerumista	mg/l	7396	0	[0.28, 0.41, 0.6, 0.78, 1.03, 1.34, 1.83, 2.72, 4.64]				1.2.2.1.2.2.1	C reactive protein.high sensitivity	Mass Concentration	Point in time (spot)	Serum	Qn		FALSE
14	c-reaktiivinenproteiini,herkkä,seerumista		36	83.33					1.2.2.1.2.2.1	C reactive protein.high sensitivity	Mass Concentration	Point in time (spot)	Serum	Qn		FALSE
14	c-reaktiivinenproteiini,pika	mg/l	111	0	[5, 5.05, 6.2, 8.27, 11.67, 14.3, 22.37, 36.1, 57]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini,pika		49	100					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini,pika,tehdäänitse	mg/l	997	0	[5, 5, 6.35, 8.12, 10.93, 14.99, 21.14, 34.44, 53.73]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini,pika,tehdäänitse		820	99.27					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini,pikatesti,veri	mg/l	174	0	[6, 7, 8.95, 10.5, 16.42, 22.45, 35.5, 53.5, 98.67]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Blood	Qn		FALSE
14	c-reaktiivinenproteiini,pikatesti,veri		1656	42.69	[6.55, 9.61, 13.21, 19.27, 27.67, 39.17, 52.81, 73.29, 109.39]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Blood	Qn		FALSE
14	c-reaktiivinenproteiini,pikatesti,veri(23318b-crp-pt)	mg/l	803	0	[4.99, 5.34, 7.17, 9.24, 13.4, 18.77, 28.88, 45.54, 76.31]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Blood	Qn		FALSE
14	c-reaktiivinenproteiini,pikatesti,veri(23318b-crp-pt)		240	100					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Blood	Qn		FALSE
14	c-reaktiivinenproteiini,pikatutkimus	mg/l	106	0	[7, 12, 15.43, 21.6, 30.72, 39.4, 56.9, 87, 115.33]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini,pikatutkimus		66	100					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini,plasmasta,vieritesti	mg/l	699	0	[5.17, 7.91, 10.75, 16.58, 23.68, 33.24, 48.01, 64.98, 99.29]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	c-reaktiivinenproteiini,plasmasta,vieritesti		274	94.89					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	c-reaktiivinenproteiini,tk:ntekemä		1605	13.4	[2.23, 4.3, 7.78, 12.46, 19.91, 29.72, 46.58, 66.7, 98.89]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini,vieritesti	mg/l	47	0					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini,vieritesti		944	23.62	[3.08, 5.45, 7.93, 11.11, 14.9, 20.87, 29.7, 49.04, 81.9]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini,vieritutkimus	mg/l	525	0	[5, 6.72, 8.66, 12.22, 15.93, 22.09, 35.26, 59.08, 89.7]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini,vieritutkimus		631	58.8	[6.41, 9.32, 15.53, 22.99, 35.64, 49.47, 62.97, 81.83, 113.06]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini,vieritutkimus,plasmasta	mg/l	1205	0					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	c-reaktiivinenproteiini,vieritutkimus,plasmasta		318	100	[4.71, 7.37, 11.52, 16.21, 23.22, 31.65, 45.13, 65.98, 97.07]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	c-reaktiivinenproteiini,vieritutkimusnordlab	mg/l	92	0	[5, 6, 8, 10.7, 12.75, 16.2, 21, 31.5, 47]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini,vieritutkimusnordlab		99	100					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini-pika(4594crp-pika)	mg/l	136	0	[5, 5.32, 7, 9, 11.15, 14.57, 19, 33.2, 47.3]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini-pika(4594crp-pika)		47	100					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini-pika(crp-pika)	mg/l	1488	0	[5, 6.88, 7, 7.34, 10.21, 14.71, 21.39, 32, 54.73]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	c-reaktiivinenproteiini-pika(crp-pika)		505	99.8					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	cp-c-reaktiivinenproteiini,ihopiston,hoitoyksikössä	mg/l	1826	0	[1.75, 3.02, 5.68, 9.52, 14.27, 22.77, 34.19, 57.29, 89.46]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Blood capillary	Qn		FALSE
14	cp-c-reaktiivinenproteiini,ihopiston,hoitoyksikössä		497	46.88	[1.2, 1.53, 2.21, 2.84, 3.97, 4.8, 6.15, 7.51, 9.1]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Blood capillary	Qn		FALSE
14	fs-c-reaktiivinenproteiini	mg/l	241	0			Fasting serum		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Serum	Qn		FALSE
14	fs-c-reaktiivinenproteiini		184	100			Fasting serum		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Serum	Qn		FALSE
14	p-c-reaktiininenproteiini,vieritutkimus	mg/l	258	0	[5.85, 8.85, 11.14, 17.24, 24.49, 35.17, 49.34, 67.54, 96.38]		Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiininenproteiini,vieritutkimus		224	100			Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini	mg/l	41046	0	[4.18, 7.12, 11.73, 18.09, 27.46, 40.11, 58.4, 87.78, 141.39]		Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini		24714	99.73			Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini(kval)	mg/l	187	0	[6.14, 9.01, 13.88, 18.86, 24.62, 33.54, 47.21, 67.37, 102.4]		Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini(kval)		142	100			Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini(kval)␤	mg/l	111	0			Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini(kval)␤		130	100			Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini(pikanäyte)	mg/l	6	0			Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini(pikanäyte)		352	17.33	[1.52, 2.59, 4.86, 7.54, 12.38, 20.91, 32.04, 56.93, 83.62]		Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini,crp	mg/l	110	0			Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini,crp		8	62.5			Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini,hoitoyksikkö	1	40	0			Plasma		1.2.2.1.2.2.1	C reactive protein	Presence or Threshold	Point in time (spot)	Plasma	Ord		FALSE
14	p-c-reaktiivinenproteiini,hoitoyksikkö	alle	5	0			Plasma		1.2.2.1.2.2.1	C reactive protein		Point in time (spot)	Plasma	Nar		FALSE
14	p-c-reaktiivinenproteiini,hoitoyksikkö	mg/l	81	0	[8, 11, 13, 16.2, 22.25, 33.7, 48, 64, 131]		Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini,hoitoyksikkö		156	63.46	[6, 8, 12, 14, 26, 32, 40, 60, 120]		Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini,pikatesti	mg/l	190	0			Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini,pikatesti		3095	41.23	[6.43, 8.8, 12.04, 15.76, 21.17, 29.16, 41.93, 63.64, 96.9]		Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini,vieritutkimus	mg/l	53	0			Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini,vieritutkimus		122	50.82			Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini,vieritutkimus,plasmasta	mg/l	202	0	[4.03, 6.98, 10.47, 16.6, 21.86, 29.42, 49.79, 68.66, 100]		Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini,vieritutkimus,plasmasta		120	71.67			Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiini.pika		316	20.25	[3.75, 6.98, 11.68, 15.55, 24.24, 38.44, 58.74, 89.38, 117.91]		Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiinipikahoitoyksiköt	mg/l	4601	0	[5.2, 7.99, 12.13, 17.43, 25.81, 37.54, 54.45, 78.12, 113.86]		Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiinipikahoitoyksiköt		1925	80.52	[1.18, 1.4, 1.83, 2.44, 3.17, 4.31, 5.83, 6.68, 8.76]		Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	p-c-reaktiivinenproteiinipikamittari		399	36.09	[7, 9.06, 12.92, 21.23, 28.43, 42.17, 58.76, 81.22, 122.07]		Plasma		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	pikatesti,c-reaktiivinenproteiini	mg/l	315	0	[6, 7.85, 10.56, 14.36, 20.22, 31.25, 44.62, 61.43, 91.59]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	pikatesti,c-reaktiivinenproteiini		386	100					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)		Qn		FALSE
14	plasmanc-reaktiivinenproteiiniosoitus	1	36	0					1.2.2.1.2.2.1	C reactive protein	Presence or Threshold	Point in time (spot)	Plasma	Ord		FALSE
14	plasmanc-reaktiivinenproteiiniosoitus	mg/l	3255	0	[6.24, 8.99, 12.45, 17.72, 25.65, 35.96, 50.8, 70.36, 106.56]				1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	plasmanc-reaktiivinenproteiiniosoitus		2589	98.42					1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Plasma	Qn		FALSE
14	s-c-reaktiivinenproteiini	mg/l	773	0	[0.4, 0.73, 1.08, 1.43, 1.93, 2.88, 4.71, 7.16, 16.64]		Serum		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Serum	Qn		FALSE
14	s-c-reaktiivinenproteiini		121	100			Serum		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Serum	Qn		FALSE
14	s-c-reaktiivinenproteiini,herkkä	mg/l	813	0	[0.39, 0.59, 0.83, 1.22, 1.67, 2.46, 3.62, 5.63, 9.01]		Serum		1.2.2.1.2.2.1	C reactive protein.high sensitivity	Mass Concentration	Point in time (spot)	Serum	Qn		FALSE
14	s-c-reaktiivinenproteiini,herkkä		34	100			Serum		1.2.2.1.2.2.1	C reactive protein.high sensitivity	Mass Concentration	Point in time (spot)	Serum	Qn		FALSE
14	s-c-reaktiivinenproteiini,pika	mg/l	77	0	[8, 10, 12.4, 14.7, 17, 20.05, 27.4, 35, 48]		Serum		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Serum	Qn		FALSE
14	s-c-reaktiivinenproteiini,pika		199	75.88			Serum		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Serum	Qn		FALSE
14	s-c-reaktiivinenproteiini/	mg/l	191	0	[0.31, 0.5, 0.7, 0.96, 1.46, 2.27, 3.04, 4.65, 10.16]		Serum		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Serum	Qn		FALSE
14	s-c-reaktiivinenproteiini/		5	100			Serum		1.2.2.1.2.2.1	C reactive protein	Mass Concentration	Point in time (spot)	Serum	Qn		FALSE
20	ehec(enterohemorraaginene.coli)		1317	100					1.2.2.1.2.2.2.2.2.2.2.2.1	Escherichia coli enterohemorrhagic	Presence or Threshold	Point in time (spot)		Ord		FALSE
20	ekg,12kytkentäälevossa		6937	99.99					1.2.2.1.2.2.2.2.2.2.2.2.1	EKG.12 lead	Finding	Point in time (spot)	^Patient	Doc		FALSE
20	ekg,12kytkentäälevossa(asi		8872	100					1.2.2.1.2.2.2.2.2.2.2.2.1	EKG.12 lead	Finding	Point in time (spot)	^Patient	Doc		FALSE
20	ekg,12kytkentäälevossa(asiakkaanottama)		2232	100					1.2.2.1.2.2.2.2.2.2.2.2.1	EKG.12 lead	Finding	Point in time (spot)	^Patient	Doc		FALSE
20	ekg,12kytkentäälevossa(asiakkanottama)		1287	100					1.2.2.1.2.2.2.2.2.2.2.2.1	EKG.12 lead	Finding	Point in time (spot)	^Patient	Doc		FALSE
20	ekg-12kytkentäälevossa		2227	100					1.2.2.1.2.2.2.2.2.2.2.2.1	EKG.12 lead	Finding	Point in in time (spot)	^Patient	Doc		FALSE
20	enteroaggregatiivinene.colinho		229	100					1.2.2.1.2.2.2.2.2.2.2.2.1	Escherichia coli enteroaggregative	Presence or Threshold	Point in time (spot)		Ord	Nucleic acid amplification with probe detection	FALSE
20	enterohemorraginene.colinho		383	100					1.2.2.1.2.2.2.2.2.2.2.2.1	Escherichia coli enterohemorrhagic	Presence or Threshold	Point in time (spot)		Ord	Nucleic acid amplification with probe detection	FALSE
20	enteropatogeeninene.colinho		229	100					1.2.2.1.2.2.2.2.2.2.2.2.1	Escherichia coli enteropathogenic	Presence or Threshold	Point in time (spot)		Ord	Nucleic acid amplification with probe detection	FALSE
20	enterotoksigeeninene.colinho		383	100					1.2.2.1.2.2.2.2.2.2.2.2.1	Escherichia coli enterotoxigenic	Presence or Threshold	Point in time (spot)		Ord	Nucleic acid amplification with probe detection	FALSE
20	etec(enterotoksigeeninene.coli)		1317	100					1.2.2.1.2.2.2.2.2.2.2.2.1	Escherichia coli enterotoxigenic	Presence or Threshold	Point in time (spot)		Ord		FALSE
20	f-campylobacterspp.(jejuni&coli)nukl.haponos		607	100			Feces		1.2.2.1.2.2.2.2.2.2.2.2.1	Campylobacter sp	Presence or Threshold	Point in time (spot)	Stool	Ord	Nucleic acid amplification with probe detection	FALSE
20	f-ehec(enterohemorraaginene.coli)nukl.haponos		607	100			Feces		1.2.2.1.2.2.2.2.2.2.2.2.1	Escherichia coli enterohemorrhagic	Presence or Threshold	Point in time (spot)	Stool	Ord	Nucleic acid amplification with probe detection	FALSE
20	f-etec(enterotoksigeeninene.coli)nukl.haponos		607	100			Feces		1.2.2.1.2.2.2.2.2.2.2.2.1	Escherichia coli enterotoxigenic	Presence or Threshold	Point in time (spot)	Stool	Ord	Nucleic acid amplification with probe detection	FALSE
20	f-plesiomonasshigelloidesnukl.haponos.		607	100			Feces		1.2.2.1.2.2.2.2.2.2.2.2.1	Plesiomonas shigelloides	Presence or Threshold	Point in time (spot)	Stool	Ord	Nucleic acid amplification with probe detection	FALSE
20	f-salmonellaspp.nukl.haponos		607	100			Feces		1.2.2.1.2.2.2.2.2.2.2.2.1	Salmonella sp	Presence or Threshold	Point in time (spot)	Stool	Ord	Nucleic acid amplification with probe detection	FALSE
20	f-shigellaspp./eiec(enteroinvasiivinene.coli)nukl.haponos		616	100			Feces		1.2.2.1.2.2.2.2.2.2.2.2.1	Shigella sp+Escherichia coli enteroinvasive	Presence or Threshold	Point in time (spot)	Stool	Ord	Nucleic acid amplification with probe detection	FALSE
20	f-yersiniaenterocoliticanukl.haponos.		607	100			Feces		1.2.2.1.2.2.2.2.2.2.2.2.1	Yersinia enterocolitica	Presence or Threshold	Point in time (spot)	Stool	Ord	Nucleic acid amplification with probe detection	FALSE
20	li-cryptococcusneoformans,nukl.haponos.		129	100			Cerebrospinal fluid		1.2.2.1.2.2.2.2.2.2.2.2.1	Cryptococcus neoformans	Presence or Threshold	Point in time (spot)	Cerebral spinal fluid	Ord	Nucleic acid amplification with probe detection	FALSE
20	li-cytomegalovirusnukl.haponos.		129	100			Cerebrospinal fluid		1.2.2.1.2.2.2.2.2.2.2.2.1	Cytomegalovirus	Presence or Threshold	Point in time (spot)	Cerebral spinal fluid	Ord	Nucleic acid amplification with probe detection	FALSE
20	li-escherichiacolik1nukl.haponos.		129	100			Cerebrospinal fluid		1.2.2.1.2.2.2.2.2.2.2.2.1	Escherichia coli K1	Presence or Threshold	Point in time (spot)	Cerebral spinal fluid	Ord	Nucleic acid amplification with probe detection	FALSE
20	li-herpessimplex1,nukl.haponos.		129	100			Cerebrospinal fluid		1.2.2.1.2.2.2.2.2.2.2.2.1	Herpes simplex virus 1	Presence or Threshold	Point in time (spot)	Cerebral spinal fluid	Ord	Nucleic acid amplification with probe detection	FALSE
